headline,lead_paragraph,date
Q. and A.: Yan Xuetong Urges China to Adopt a More Assertive Foreign Policy,"Yan Xuetong, the director of the Institute of International Relations at Tsinghua University in Beijing, argues for a more assertive foreign policy for China in his latest book, “The Transition of World Power: Political Leadership and Strategic Competition.” In the book, which the Chinese state news media has reviewed favorably, he advocates what he calls moral realism as a rising China challenges the United States for world leadership. This approach would combine a greater emphasis on forging military partnerships abroad while building a more humane society at home.",2016-02-09 08:54:00+00:00
North Korea’s Rocket Launch Frays Ties Between South Korea and China,"BEIJING — When China’s leader, Xi Jinping, visited America’s firm ally South Korea in 2014, it seemed to be the beginning of a promising courtship.",2016-02-10 16:13:05+00:00
Senate Approves Penalties for Aiding North Korean Nuclear Program,"WASHINGTON — In an effort to derail North Korea’s nuclear ambitions, the Senate on Wednesday unanimously approved strict sanctions intended to limit Pyongyang’s ability to finance warheads and missiles.",2016-02-11 00:33:01+00:00
Alan Grayson’s Double Life: Congressman and Hedge Fund Manager,"WASHINGTON — The hedge fund manager boasted that he had traveled to “every country” in the world, studying overseas stock markets as he fine-tuned an investment strategy to capitalize on global companies’ suffering because of economic or political turmoil.",2016-02-11 14:37:46+00:00
Officer Peter Liang Convicted in Fatal Shooting of Akai Gurley in Brooklyn,A New York City police officer was convicted of manslaughter on Thursday for killing an unarmed man who was hit by a ricocheting bullet fired from the officer’s gun in the stairwell of a Brooklyn housing project in a case that highlighted concerns over police accountability.,2016-02-12 00:32:15+00:00
Transcript of the Democratic Presidential Debate in Milwaukee,"Following is a transcript of the Democratic debate in Milwaukee, as transcribed by the Federal News Service.",2016-02-12 04:45:48+00:00
Day One of the New President,"It was a lot of fun watching Chris Christie pants Senator Marco Rubio and steal his lunch money, causing the Marcobot to break down — a murder-suicide, it seems to be. And what fan of Lincolnesque elocution didn’t enjoy Donald Trump calling Ted Cruz a girlie man, while belittling Jeb Bush for needing his mommy. Great stuff from the Granite State.",2016-02-12 08:21:04+00:00
U.S. Drawing Southeast Asia Closer With California Summit,"JAKARTA, Indonesia — When President Obama holds the first American summit meeting with Southeast Asian leaders in California beginning Monday, an underlying goal involves a country that will not be represented there: China.",2016-02-12 16:01:45+00:00
"For Norway, an Envoy; For Cruz, a Street Name","WASHINGTON — As diplomatic crises go, the latest doings in the Senate fell somewhat short of Iran’s capture of wayward American sailors or North Korea’s fourth nuclear test. But on Friday morning, an embarrassing stain on the nation was erased. After 869 days, Norway finally has an ambassador.",2016-02-12 18:57:18+00:00
Bill Richardson Aids Effort to Free Student Held in North Korea,"Gov. John Kasich of Ohio has asked former Gov. Bill Richardson of New Mexico, a veteran diplomat and North Korea troubleshooter, to help in the effort to free an Ohioan arrested by the North Korean authorities six weeks ago, Mr. Kasich’s spokesman said Friday. ",2016-02-13 01:30:49+00:00
Transcript of the Republican Presidential Debate,"Following is a transcript of the Republican debate, as transcribed by the Federal News Service.",2016-02-14 05:53:40+00:00
An Asia Summit Meeting Is Overshadowed by Scalia,"RANCHO MIRAGE, Calif. — President Obama welcomed the leaders of 10 Southeast Asian countries to this desert oasis for a summit meeting on Monday, giving him another chance to shine a spotlight on one of his most ambitious geopolitical projects: the “pivot” to Asia.",2016-02-16 01:43:00+00:00
Next Supreme Court Justice Will Be Crucial to Climate Change,The United States sure knows how to throw cold water on international harmony.,2016-02-16 19:48:37+00:00
Political Backlash Grows in Washington to Chinese Takeovers,"HONG KONG — As Chinese companies try to snap up American tech businesses, they are setting off ripples of unease in the Obama administration and in Congress, inciting a backlash that has stopped the latest acquisition attempt.",2016-02-17 04:08:02+00:00
Veto Likely to Block Renaming of China Embassy’s Street After Liu Xiaobo,HONG KONG — The Chinese Embassy’s stationery seems safe for now.,2016-02-17 07:49:49+00:00
"Missiles Deployed on Disputed South China Sea Island, Officials Say","HONG KONG — China has apparently deployed surface-to-air missiles on a disputed island in the South China Sea, escalating regional tensions with China’s neighbors and the United States.",2016-02-17 17:04:59+00:00
Chinese Missiles in South China Sea Underscore a Growing Conflict Risk,"WASHINGTON — China’s deployment of surface-to-air missiles on a disputed island in the South China Sea, at the very moment that President Obama is trying to buttress American influence in the region, underscores the growing risk of conflict among the Chinese, their neighbors and the United States.",2016-02-18 01:24:37+00:00
"Your Thursday Briefing: Antonin Scalia, Cuba, iPhone",(Want to get this briefing by email? Here’s the sign-up.),2016-02-18 10:49:58+00:00
MoMA Plans a Fall Show Centered on Francis Picabia,Francis Picabia has always been tough to pin down.,2016-02-18 23:23:49+00:00
Apple’s Line in the Sand Was Over a Year in the Making,"WASHINGTON — Time and again after the introduction of the iPhone nearly a decade ago, the Justice Department asked Apple for help opening a locked phone. And nearly without fail, the company agreed.",2016-02-19 01:56:14+00:00
Russia Pulls Back From Cooperating With U.S. on Afghanistan,"KABUL, Afghanistan — For all the conflicts in the world in which Washington is at odds with Moscow, the deteriorating security situation in Afghanistan has been one area where the Obama administration’s interests and Russia’s concerns coincide. ",2016-02-21 02:21:27+00:00
U.S. Strikes Help Break Impasse and Restore Power to Kabul,"KABUL, Afghanistan — United States airstrikes have helped to break a bloody impasse between Afghan troops and Taliban militants north of Kabul, allowing repair crews to reach downed power lines and restore electricity to the capital after more than three weeks of disruption, an Afghan official said on Tuesday.",2016-02-23 19:53:36+00:00
South Korea Tells China Not to Intervene in Missile-Defense System Talks,"SEOUL, South Korea — Tensions between South Korea and China over how to deal with the North have flared into an unusually blunt diplomatic dispute, with Seoul telling Beijing on Wednesday not to meddle in its talks with the United States over the possible deployment of an American missile-defense system here.",2016-02-24 11:53:54+00:00
U.S. and China Agree on Proposal for Tougher North Korea Sanctions,"UNITED NATIONS — The United States and China reached an agreement to impose tougher sanctions against North Korea, in what appeared to be a diplomatic shift by Beijing regarding its intransigent ally.",2016-02-25 16:16:31+00:00
Doubts in Asia Over Whether New Sanctions Against North Korea Can Work,"SEOUL, South Korea — As a new set of sanctions against North Korea circulated at the United Nations Security Council, analysts in South Korea and China expressed doubts on Friday that the measures would be tough enough to force the pariah state to give up its nuclear weapons.",2016-02-26 16:10:33+00:00
Putting Donald Trump’s Promises Under Scrutiny,A powerful force driving Donald J. Trump and Senator Bernie Sanders in the presidential race is the frustration of grass-roots voters that politicians in Washington haven’t kept their promises.,2016-02-28 18:14:26+00:00
U.N. Toughens Sanctions on North Korea in Response to Its Nuclear Program,"UNITED NATIONS — Exasperated with North Korea’s defiant testing of nuclear bombs and ballistic missiles, the United Nations Security Council voted unanimously on Wednesday to severely toughen its penalties against the isolated country.",2016-03-02 15:27:14+00:00
Obama’s Long Game for Cubans’ Rights,WASHINGTON — President Obama’s announcement that he will visit Cuba this month has prompted a new round of criticism from opponents of normalizing relations. Their complaint: that the administration’s opening to Cuba has yet to yield any tangible progress on human rights.,2016-03-02 15:37:04+00:00
U.S. Proposes Reviving Naval Coalition to Balance China’s Expansion,"NEW DELHI — The chief of the United States Pacific Command, Adm. Harry B. Harris Jr., on Wednesday proposed reviving an informal strategic coalition made up of the navies of Japan, Australia, India and the United States, an experiment that collapsed a decade ago because of diplomatic protests from China.",2016-03-02 16:54:18+00:00
Transcript of Mitt Romney’s Speech on Donald Trump,Here’s our analysis of the 11th Republican debate.,2016-03-03 17:45:08+00:00
Shinzo Abe and Okinawa’s Governor to Resume Talks on U.S. Base,TOKYO — Prime Minister Shinzo Abe of Japan and the leader of the southern island Okinawa agreed on Friday to take a dispute over the future of a United States military base out of the courts and back to the negotiating table.,2016-03-04 14:08:46+00:00
Donald the Dangerous,"IS there any scarier nightmare than President Donald J. Trump in a tense international crisis, indignant and impatient, with his sweaty finger on the nuclear trigger?",2016-03-05 19:30:06+00:00
White House and Cuba Maneuver Over Obama’s Visit,"WASHINGTON — When Major League Baseball completed a deal with the Cuban government last week to hold an exhibition game in Havana during President Obama’s planned visit this month, White House officials quietly rejoiced that a pivotal piece of their plan had fallen into place after weeks of intensive negotiations.",2016-03-07 00:53:25+00:00
"Transcript of the Democratic Presidential Debate in Flint, Mich.","Following is a transcript of the Democratic debate, as transcribed by the Federal News Service.",2016-03-07 03:52:43+00:00
"U.S. Restricts Sales to ZTE, Saying It Breached Sanctions",HONG KONG — ZTE is one of China’s few truly international electronics firms. Yet American companies will now need special permission to sell to it.,2016-03-07 23:13:12+00:00
South China Sea Buildup Brings Beijing Closer to Realizing Control,"HONG KONG — When the aircraft carrier John C. Stennis and four other American warships sailed into the South China Sea last week for what were described as routine exercises, the message was clear: The United States is the dominant military power in the region and plans to keep it that way.",2016-03-08 14:35:09+00:00
"Trying to Read Donald Trump, in Translation","You would think that if the leader of a country friendly to America likened a serious contender for the American presidency to two of the premier villains of the 20th century, it would set off an uproar.",2016-03-09 00:46:28+00:00
Transcript of the Democratic Presidential Debate in Miami,"Following is a transcript of the Democratic debate, as transcribed by the Federal News Service. ",2016-03-10 05:08:17+00:00
Obama Criticizes the ‘Free Riders’ Among America’s Allies ,"WASHINGTON — President Obama believes that Saudi Arabia, one of America’s most important allies in the Middle East, needs to learn how to “share” the region with its archenemy, Iran, and that both countries are guilty of fueling proxy wars in Syria, Iraq and Yemen.",2016-03-10 08:30:26+00:00
The Neocons vs. Donald Trump,THERE they go again. The neocons who led the George W. Bush administration into Iraq are now touting a fresh crusade to save American democracy — and the Republican Party — from an authoritarian foe: Donald J. Trump.,2016-03-10 17:24:17+00:00
Justin Trudeau’s White House Dinner Has the Air of a Family Reunion,"WASHINGTON — When Prime Minister Justin Trudeau of Canada mounted the carpeted steps of the White House’s North Portico on Thursday night for one of this city’s most glamorous rituals, a state dinner, he followed in his father’s footsteps — but only so far.",2016-03-11 02:14:40+00:00
Transcript of the Republican Presidential Debate in Florida,"Following is a transcript of the Republican debate, as transcribed by the Federal News Service.",2016-03-11 05:28:59+00:00
Trade and Tribulation,"Why did Bernie Sanders win a narrow victory in Michigan, when polls showed Hillary Clinton with a huge lead? Nobody really knows, but there’s a lot of speculation that Mr. Sanders may have gained traction by hammering on the evils of trade agreements. Meanwhile, Donald Trump, while directing most of his fire against immigrants, has also been bashing the supposedly unfair trading practices of China and other nations.",2016-03-11 08:21:05+00:00
Fill In the Foreign Policy Blanks,"The next president will have to set the direction of the fight against terrorism, define America’s role in the Syrian war, which has created a refugee crisis that is destabilizing Europe, and address the tensions between China and its neighbors that could turn into military conflict.",2016-03-11 08:21:27+00:00
Five Big Questions After a (Shockingly) Civil Debate,When and why did an alien gain control of Donald Trump’s body?,2016-03-11 10:28:29+00:00
Morning Agenda: Start-Up Investors Are Not Waiting for Growth,"START-UP INVESTORS ARE NOT WAITING FOR GROWTH | Investors may be throwing money at mature start-ups like Uber and Airbnb at soaring valuations, but the venture capitalists who can pick a winner early on are the ones who come out on top,Katie Benner and Michael J. de la Merced report in The New York Times.",2016-03-14 10:06:12+00:00
Bernie Sanders Rallies in Four States to Spur Voter Turnout,"YOUNGSTOWN, Ohio — Bernie Sanders, campaigning at a feverish pace on Monday, made last-minute pitches to supporters on the eve of crucial primaries, holding five rallies in four states as he seized on his anti-trade message to rally people to turn out to vote on Tuesday.",2016-03-14 18:03:23+00:00
Trump’s Brain and U.S. Foreign Policy,"For weeks, journalists have been asking Donald Trump, the Republican frontrunner for president, to name his foreign policy brain trust. Okay, it doesn’t have to be a panoply of knowledgeable people; how about even a handful?",2016-03-16 17:56:42+00:00
"What Donald Trump Gets Pretty Much Right, and Completely Wrong, About China","If there is one thing Donald Trump seems sure about, it is that the United States is getting a raw deal from China.",2016-03-17 07:28:22+00:00
Study Finds Public Pension Promises Exceed Ability to Pay,"When Detroit went bankrupt in 2013, investors were shocked to learn that the city had promised pensions worth billions more than anyone knew — creating a financial pileup that ultimately meant big, unexpected losses for Detroit’s bondholders.",2016-03-17 21:56:11+00:00
Morning Agenda: TransCanada to Buy Columbia Pipeline Group,"TRANSCANADA TO BUY COLUMBIA PIPELINE GROUP | TransCanada will buy the Columbia Pipeline Group for $10.2 billion after failing to obtain approval for its Keystone XL oil sands pipeline,Ian Austen reports in DealBook.",2016-03-18 10:03:08+00:00
Donald Trump’s Rise Reverberates Around the World,"Donald J. Trump’s march toward the Republican presidential nomination has sent shock waves through American politics and, as he continued gobbling up delegates this week, the rest of the world has started quivering, too.",2016-03-18 16:32:07+00:00
"Your Weekend Briefing: Salah Abdeslam, European Union, Donald Trump","Here are the week’s top stories, and a look ahead.",2016-03-20 09:45:48+00:00
U.S. Casts Wary Eye on Australian Port Leased by Chinese,"DARWIN, Australia — The port in this remote northern Australian outpost is little more than a graying old wharf jutting into crocodile-infested waters. On a recent day, there was stifling heat but not a ship in sight. “Our pissy little port,” as John Robinson, a flamboyant local tycoon, calls it.",2016-03-20 22:43:22+00:00
"As Obama Visits Cuba, China’s News Media Weighs In Warily","BEIJING — If President Obama was looking for encouragement after his meeting with President Raúl Castro of Cuba in Havana, the Chinese news media was not the place to find it.",2016-03-22 13:39:51+00:00
"Obama, in Havana Speech, Says Cuba Has Nothing to Fear From U.S.","HAVANA — President Obama on Tuesday made a full-throated plea for Cuba’s autocratic government to change, calling on President Raúl Castro to loosen his grip on the economy and political expression or risk squandering the fruits of a historic thaw.",2016-03-22 15:42:49+00:00
"The Unsettling Acquisitiveness of Anbang, a Chinese Insurer, in the U.S.",A buying spree by a Chinese insurance company that has emerged seemingly overnight is flashing a warning sign.,2016-03-22 20:58:33+00:00
"Dangerous World, Serious Leaders","There is starting to be a sad, somber repetitiveness to the horror of terror attacks and the world’s reaction to them.",2016-03-24 07:21:04+00:00
Abortion Rights Advocates Cry Foul at New Step in Fetal Tissue Inquiry,"WASHINGTON — A special House committee empaneled to investigate fetal tissue research is preparing to issue 17 subpoenas to medical supply companies and laboratories, seeking the names of researchers, graduate students, laboratory technicians and administrative personnel — and prompting charges of intimidation.",2016-03-24 09:00:26+00:00
Obama Expresses Regret for U.S. Policies During Argentina’s ‘Dirty War’,BUENOS AIRES — President Obama expressed regret on Thursday for the failure of the United States to acknowledge the brutal repression and atrocities that took place during Argentina’s “dirty war” in the 1970s and ’80s.,2016-03-24 15:37:42+00:00
"In Donald Trump’s Worldview, America Comes First, and Everybody Else Pays","Donald J. Trump, the Republican presidential front-runner, said that if elected, he might halt purchases of oil from Saudi Arabia and other Arab allies unless they commit ground troops to the fight against the Islamic State or “substantially reimburse” the United States for combating the militant group, which threatens their stability.",2016-03-26 16:55:49+00:00
Transcript: Donald Trump Expounds on His Foreign Policy Views,"Over two telephone conversations on Friday, Donald J. Trump, the Republican presidential candidate, discussed his views on foreign policy with Maggie Haberman and David E. Sanger of The New York Times. Here is an edited transcript of their interview (or just the highlights).",2016-03-26 16:55:57+00:00
Highlights From Our Interview With Donald Trump on Foreign Policy,"Over two telephone conversations on Friday, Donald J. Trump, the Republican presidential candidate, discussed his views on foreign policy with Maggie Haberman and David E. Sanger of The New York Times. Here are some excerpts we highlighted (and an edited transcript).",2016-03-26 16:56:02+00:00
Obama’s Last Tango,"WASHINGTON — BARACK OBAMA is tangoing into history, and there’s something perfect about that.",2016-03-26 18:30:05+00:00
"The Trade Deficit Isn’t a Scorecard, and Cutting It Won’t Make America Great Again",Donald Trump believes that a half-trillion-dollar trade deficit with the rest of the world makes the United States a loser and countries with trade surpluses like China and Mexico winners.,2016-03-27 11:00:24+00:00
How the G.O.P. Elite Lost Its Voters to Donald Trump,"The manufacturing executives had gathered in an Atlanta conference room last year to honor their senior United States senator, Johnny Isakson, for his tireless efforts on their behalf in Washington. But as the luncheon wound down, Mr. Isakson found himself facing a man from Coweta County. The man, Burl Finkelstein, said trade policies with Mexico and China were strangling the family-owned kitchen-parts company he helped manage, and imperiling the jobs it provided. Mr. Isakson politely brushed him off, Mr. Finkelstein recalled, as he had many times before.",2016-03-28 06:45:45+00:00
Trump&apos;s New World Disorder,"Goodbye to all that. Now we know that Donald Trump would rip up the post-1945 world order, trash an “obsolete” NATO, lean toward a Japan with nukes rather than the “one-sided agreement” that leaves the United States responsible for Japanese defense, tell Saudi Arabia that it “wouldn’t be around for very long” without American protection, and generally make clear that “we cannot be the policeman of the world.”",2016-03-28 10:34:33+00:00
Comments by Donald Trump Draw Fears of an Arms Race in Asia,"HONG KONG — Donald J. Trump’s suggestion that Japan and South Korea should take more responsibility for their defense, including possibly developing their own nuclear weapons, has provoked worries in Asia about the potential for a regional arms race.",2016-03-28 13:30:31+00:00
Obama Faces a Tough Balancing Act Over South China Sea,"BEIJING — When dozens of world leaders gather for a summit meeting in Washington on Thursday, President Obama will meet privately with only one of them: President Xi Jinping of China.",2016-03-29 16:00:23+00:00
"Lew Defends Sanctions, but Cautions on Overuse","WASHINGTON — With an eye to President Obama’s legacy and his own, Treasury Secretary Jacob J. Lew on Wednesday will hail the success of economic sanctions against Iran and other global offenders, but warn that their overuse could threaten the primacy of the United States and the dollar in the world economy.",2016-03-30 00:25:07+00:00
China Air Quality Study Has Good News and Bad News,"BEIJING — You’re moving to China with your family, and you’re excited but also concerned: What might the country’s notorious smog do to your and your children’s lungs?",2016-03-30 06:21:21+00:00
"Patrolling Disputed Waters, U.S. and China Jockey for Dominance","ABOARD THE U.S.S. CHANCELLORSVILLE, in the South China Sea — The Navy cruiser was in disputed waters off the Spratly Islands when the threat warning sounded over the ship’s intercom: “Away the Snoopie team. ... Away the Snoopie team.”",2016-03-30 09:00:49+00:00
"Bernie Sanders, Buoyed by Poll, Sprints Through Wisconsin","Senator Bernie Sanders of Vermont spent Wednesday crisscrossing Wisconsin, hosting events in three cities and arguing that his stances on trade deals, campaign finance and foreign policy make him a stronger candidate than Hillary Clinton.",2016-03-30 23:54:54+00:00
"Shifting From Wisconsin, Hillary Clinton Tells New Yorkers That She’s One of Them","With Bernie Sanders making headway in Wisconsin before next week’s vote there, Hillary Clinton turned her energies on Wednesday to winning a more pivotal contest: the New York primary on April 19, where a Sanders victory would be a humiliating outcome for her.",2016-03-31 01:01:11+00:00
Campaign Season’s Anti-China Tone Is Likely to Cloud Meeting With Obama,"WASHINGTON — President Obama refused to bash China when he ran for the White House in 2008, which set him apart from other candidates. None of Mr. Obama’s would-be successors are showing similar restraint. Some, like Donald J. Trump, are bashing Beijing with gleeful abandon.",2016-03-31 01:37:01+00:00
One Envoy’s Take on China’s Hardball Diplomacy,"BEIJING — Chinese diplomats are known to be tough, but it is rare to hear descriptions of how tough. A senior Singaporean diplomat has pulled back the veil and has talked about China’s efforts to put smaller Asian countries in their place.",2016-03-31 12:29:35+00:00
Activist Says China Didn’t Allow Her to Receive Award in U.S.,BEIJING — A well-known human rights advocate said on Thursday that the Chinese authorities had forbidden her from traveling to the United States to accept an award from Secretary of State John Kerry honoring her bravery.,2016-03-31 12:42:36+00:00
"As Obama Hosts Nuclear Security Summit, the Focus Is on China","WASHINGTON — President Obama gathered more than 50 world leaders here on Thursday to discuss one of his favorite topics: locking down nuclear weapons. But it was Mr. Obama’s meeting with one of the less friendly of those leaders, President Xi Jinping of China, that captured most of the attention.",2016-03-31 13:42:13+00:00
White House Assails Donald Trump Proposal to Let Asian Allies Get Nuclear Weapons,"WASHINGTON — A White House official said on Thursday that it would be “catastrophic” to adopt a proposal by Donald J. Trump, the Republican front-runner, that Japan and South Korea manufacture their own nuclear bombs to deter North Korea.",2016-03-31 18:58:02+00:00
Obama and President Xi of China Vow to Sign Paris Climate Accord Promptly,"WASHINGTON — President Obama and President Xi Jinping of China said Thursday that they would sign the Paris Agreement on climate change on April 22, the first day the United Nations accord will be open for government signatures.",2016-04-01 01:08:24+00:00
Obama Rebukes Donald Trump’s Comments on Nuclear Weapons,"WASHINGTON — President Obama on Friday questioned Donald J. Trump’s fitness for office after statements from the Republican front-runner that the United States and its allies should move away from decades of constraints on the use of nuclear weapons. “We don’t want somebody in the Oval Office who doesn’t recognize how important that is,” Mr. Obama said.",2016-04-01 17:56:42+00:00
"Global Warming Linked to Public Health Risks, White House Says","WASHINGTON — Global warming could lead to an increase in allergies and asthma, deaths by extreme heat and the proliferation of insect-borne diseases such as the West Nile virus, according to a scientific report released Monday by the White House.",2016-04-04 18:33:56+00:00
"Donald Trump, Despite Bashing Beijing, Is Not Without Fans in China","BEIJING — Last month, as Donald J. Trump’s lead in the Republican presidential primaries widened and his feud with the party establishment intensified, Ding Qiushi, a chemist in Nanjing and founder of the online “Trump Fan Club,” sang his praises: “A political outsider is taking the country by storm, with unflinching courage.”",2016-04-05 07:44:52+00:00
The Dark History of Defending the ‘Homeland’,"In 2010, the screenwriter and producer Alex Gansa finished the script for a political thriller involving a deeply troubled C.I.A. agent and a soldier who had been turned by the Taliban, and began thinking about a title. He recalls that he wanted a word or phrase to conjure an atmosphere of “creepy subversion” — something sinister, xenophobic, un-American. “Shadowland”? No, not quite. “Homeland”? Perfect.",2016-04-05 11:00:06+00:00
Impossible Missions,I just read a book that Barack Obama and Donald Trump would both enjoy.,2016-04-06 07:21:03+00:00
A Treasury Secretary at the Center of Obama’s Most Pressing Policies,"WASHINGTON — Jacob J. Lew, President Obama’s second-term Treasury secretary, has kept such a low profile in these relatively placid economic times, compared with his crisis-era predecessor, that it seemed he might end up best known for his pending decision to pick a woman for portraiture on the $10 bill.",2016-04-08 00:22:34+00:00
Tabloid Editor and Ex-Diplomat Square Off Over China’s Foreign Policy,BEIJING — An unusual public spat between a Chinese ex-diplomat and the top editor of a well-known tabloid newspaper has set off debate on one of the paper’s favorite subjects: Beijing’s foreign policy.,2016-04-08 08:38:35+00:00
"In Cambodia, the Ghosts Prefer Dollars","PHNOM PENH, Cambodia — One recent morning, Suon Sokhum, a colonel in the Cambodian Army, was shopping for gifts for his ancestors.",2016-04-08 11:07:35+00:00
Donald Trump’s Trial Balloons Are Catching Up With Him,"WASHINGTON — Two weeks ago, Donald J. Trump said he could live with a nuclear-armed Japan and South Korea if it meant they could defend themselves against North Korea without American aid. “I’m not sure that would be a bad thing for us,” he said.",2016-04-09 23:15:59+00:00
Kerry Visits Hiroshima Memorial and Underlines U.S.-Japan Alliance,"HIROSHIMA, Japan — Secretary of State John Kerry attended a memorial ceremony in Hiroshima on Monday for victims of the American atomic bombing 71 years ago, becoming the highest-ranking United States administration official to visit the site of one of the most destructive acts of World War II.",2016-04-11 06:24:41+00:00
Morning Agenda: How Valeant’s Missteps Derailed Female Viagra,"HOW VALEANT’S MISSTEPS DERAILED FEMALE VIAGRA | In August, Sprout Phamaceuticals was flying high: It had finally received regulatory approval for its drug Addyi to treat low sex drive in women, and a day after the Food and Drug Administration approved the drug, Valeant Pharmaceuticals International bought Sprout for $1 billion, twice its value only two months earlier. But a series of missteps after the deal, combined with problems at Valeant that have depressed its stock by 85 percent, derailed what was once hailed as the “female Viagra,”  Katie Thomas and Gretchen Morgenson write in The New York Times. ",2016-04-11 10:22:36+00:00
"Eye on China, U.S. and Philippines Ramp Up Military Alliance","MANILA — After a rocky patch of 25 years, the United States and the Philippines will solidify a new, increasingly complex military relationship this week, driven partly by China’s assertive actions in the South China Sea.",2016-04-12 10:39:48+00:00
Taiwan Denies Role in Spy Case Involving U.S. Navy Officer,Taiwan’s military denied any involvement on Tuesday in the case of a United States naval officer under investigation on suspicion of providing secret information to Taiwan or China.,2016-04-12 11:11:57+00:00
U.S. and India Agree to Strengthen Military Ties,NEW DELHI — The United States and India on Tuesday agreed in principle to a series of initiatives between their militaries that the Obama administration hopes will strengthen American ties in the region as it seeks to counter China’s growing influence.,2016-04-12 16:22:44+00:00
