headline,lead_paragraph,date
U.S. Arms for Taiwan Send Beijing a Message,"WASHINGTON  For the past year, China has adopted an increasingly muscular position toward the United States, berating American officials for the global economic crisis, stage-managing President Obama’s visit to China in November, refusing to back a tougher climate change agreement in Copenhagen and standing fast against American demands for tough new Security Council sanctions against Iran.",2010-01-31 22:27:30+00:00
Obama’s Halfway House,"NEW YORK — I had very high hopes for Barack Obama. I still do. He’s smart, curious, informed — and he has a sense of humor, if only he’d display it more. But he inherited a nation in a funk and, one year into his presidency, he’s not found a way to lift the mood. Americans feel mired.",2010-02-01 16:10:21+00:00
Europe Feels Snubbed by Obama,"PARIS  President Obama’s decision to skip a United States-European Union summit meeting scheduled for Madrid in May has predictably upset European officials, who suggested Tuesday that the summit meeting itself would now be postponed, possibly to the autumn.",2010-02-02 11:22:19+00:00
When Economics Meets Politics,"Doha, Qatar",2010-02-03 04:40:38+00:00
Continue to Engage Iran,"Roger Cohen (“Obama’s halfway house,” Globalist, Feb. 2) is right concerning Iran when he says the Obama administration’s saber-rattling is counterproductive. For diplomacy to succeed, there must be an abundance of patience and perseverance. ",2010-02-03 15:20:53+00:00
U.S. Slights a Disunited Europe,"BERLIN — With President Barack Obama’s decision to skip a United States-European Union summit meeting next May in Madrid, Europe’s egos were badly bruised. José Luis Rodríguez Zapatero, the Spanish prime minister, and José Manuel Barroso, the E.U. Commission president, were angry and embarrassed. They saw Mr. Obama’s nonattendance as a snub. ",2010-02-03 15:40:38+00:00
Currency Dispute Likely to Further Fray U.S.-China Ties,"WASHINGTON  To the growing list of grievances between the United States and China, add one more: the Obama administration is reviving American pressure on China to stop artificially depressing its currency, a policy that fuels its persistent trade gap with the United States.",2010-02-04 01:35:16+00:00
China Rejects U.S. Complaints on Its Currency,"BEIJING  A senior Chinese official said on Thursday that China would not bow to pressure from the United States to revalue its currency, which President Obama says is kept at an artificially low level to give China an unfair advantage in selling its exports. ",2010-02-04 09:52:22+00:00
China Hits Back in U.S. Yuan Row,China dismisses Washington's threat of action over its currency in the latest of a series of spats between the two nations.,2010-02-04 16:32:07+00:00
"Thank You, President Obama","If only there could be many more snubs like that. On Monday, a leak from the White House suddenly made it clear that there would be no summit between the European Union and the United States in late May, as had been widely anticipated. ",2010-02-05 18:30:50+00:00
Russia and U.S. Lead Calls to Reduce Nuclear Arsenals,"MUNICH — For many years, the Munich Security Conference has been dominated by rivalry and suspicion between Russia and the United States. The suspicion continues to be fueled by Russian hatred of the idea of NATO expansion even further eastward, eventually admitting Ukraine.",2010-02-08 11:09:15+00:00
Pakistan Is Said to Pursue Role in U.S.-Afghan Talks,"ISLAMABAD, Pakistan  Pakistan has told the United States it wants a central role in resolving the Afghan war and has offered to mediate with Taliban factions who use its territory and have long served as its allies, American and Pakistani officials said.",2010-02-10 00:48:20+00:00
U.S. Eyes New Sanctions Over Iran Nuclear Program,"WASHINGTON  The Obama administration is working on a series of sanctions that would take aim at the Islamic Revolutionary Guards Corps of Iran, publicly singling out the organization’s vast array of companies, banks and other entities in an effort to curb Tehran’s nuclear ambitions.",2010-02-10 01:50:58+00:00
Healthy Jump in Chinese Exports Points to Recovery in World Trade,"HONG KONG — China said Wednesday that its exports climbed 21 percent in January from a year earlier, while imports surged 85.5 percent, the latest sign that world trade is starting to recover from the global financial crisis.",2010-02-10 05:36:47+00:00
We Want China to Lead,A few months ago I gave a speech at the Party Central school in Beijing in which I said that the next generation of Chinese leaders would have to be the most internationalist in its history. It was a passable sound bite. ,2010-02-11 16:21:01+00:00
"Sealing Shift, Chávez Gives Contracts to Western Oil Companies","CARACAS, Venezuela  After clashing with foreign oil companies in recent years, President Hugo Chávez of Venezuela has shifted strategy and awarded contracts to Western oil companies, hoping to increase his nation’s flagging oil production and pull the country out of a sharp economic downturn.",2010-02-11 17:21:58+00:00
Obama to Meet Dalai Lama Next Week,"President Obama will meet the Dalai Lama at the White House on Feb. 18, Robert Gibbs, White House spokesman, said Thursday.",2010-02-11 18:29:42+00:00
U.S. Envoys Head Out on a Mission to Rally Iran’s Neighbors,"WASHINGTON  With tensions over Iran’s nuclear ambitions hitting new levels, the United States is mounting a diplomatic full-court press in the Middle East, sending four top diplomats, including Secretary of State Hillary Rodham Clinton, to confer with Arab and Israeli leaders.",2010-02-13 01:42:45+00:00
Obama’s Art: Threading the Needle,"WASHINGTON — President Barack Obama sees an irony in his relations with the U.S. business community. “On the left, we are perceived as being in the pockets of big business,” he said in an Oval Office interview this past week. “On the business side, we are perceived as being anti-business.” ",2010-02-14 20:00:45+00:00
Clinton Pleads for Patience at U.S.-Islamic World Forum,"DOHA, Qatar  Nine months after President Obama held out the promise of a “new beginning” for the United States and the Muslim world, Secretary of State Hillary Rodham Clinton came to this Persian Gulf emirate on Sunday to plead for patience, conceding that the Obama administration had not yet delivered on some of its signature foreign-policy goals.",2010-02-15 04:39:19+00:00
Clinton Raises U.S. Concerns of Military Power in Iran,"RIYADH, Saudi Arabia  The United States fears that Iran is drifting toward a military dictatorship, Secretary of State Hillary Rodham Clinton said Monday, with the Islamic Revolutionary Guards Corps seizing control of large swaths of Iran’s political, military and economic establishment.",2010-02-15 08:34:42+00:00
Russia Seeks Quid Pro Quo to Rein Iran In,"Russia, it would seem, is finally making some of the right noises about tougher sanctions against Iran. Excellent.",2010-02-15 12:00:46+00:00
U.S. Encounters Limits of Iran Engagement Policy,"WASHINGTON  For two days this month, Gen. James L. Jones, President Obama’s national security adviser, and Manouchehr Mottaki, the Iranian foreign minister, were in the same place at the same time, attending a high-level security conference in Munich with a number of high-ranking officials from around the world. And yet the two made no plans to meet with each other.",2010-02-16 02:26:58+00:00
Clinton Issues Another Warning to Iran,"JIDDA, Saudi Arabia  The confrontation with Iran over its nuclear program appeared to deepen Tuesday as Secretary of State Hillary Rodham Clinton escalated her verbal assault during a Persian Gulf visit and Russia joined the United States and France in bluntly questioning Iran’s ultimate intentions in enriching uranium. ",2010-02-16 10:31:37+00:00
The Tension Is Overstated,"The state of the U.S.-China relationship exhibits classic symptoms of a bipolar disorder — sudden and dramatic swings between euphoria and depression. Barely three months ago, when President Obama was feted in Beijing, it was euphoria. At the moment, when Beijing hurls insults at Washington almost daily, it is decidedly depression.",2010-02-16 12:30:43+00:00
"Crouching Dragon, Weakened Eagle",LONDON — The spats between the United States and China appear to be getting more numerous and more serious. ,2010-02-16 12:40:53+00:00
Western Union: Debating Benefits and Challenges of EU Membership,"Overview | How do countries join the European Union, and what are the benefits and challenges of EU membership? With a shared currency, the euro, how does the economy in one EU country impact those of other EU nations? In this lesson, students research the European Union and the criterion and ramifications of membership and hold a conference to debate the admittance of other potential EU countries. ",2010-02-16 20:37:47+00:00
Credit Where It's Due, Credit where it’s due ,2010-02-18 12:40:50+00:00
Rift Grows as U.S. and China Seek Differing Goals,"BEIJING  When President Obama met with the Dalai Lama in the White House on Thursday, he was following a tradition that all recent American presidents had dutifully honored.",2010-02-19 17:19:14+00:00
What’s At Stake? Mapping Causes and Effects of Developments in Iran,"Overview | Why is Secretary of State Clinton urging an uprising in Iran? What is at stake under Iran’s current leadership — for the Iranian people and the rest of the world? In this lesson, students immerse themselves in the complicated issues that have brought growing alarm to the international community. They trace and research the issues, and then create a concept map that connects each issue’s causes and effects. Finally, they write an open letter to Secretary Clinton. ",2010-02-19 18:12:21+00:00
‘A Threat to Their Sovereignty’,"Monologue |  Thursday night on “Jimmy Kimmel Live” on ABC: President Obama in Washington today met with the Dalai Lama, despite strong objections from the Chinese government. China considers the Dalai Lama a threat to their sovereignty and warned that if Obama met with him, it would damage U.S.-Chinese relations. They’ve even threatened to stop sending us poisonous toys. ",2010-02-19 18:13:19+00:00
Obama and the Dalai Lama,"China-U.S. relations are on a downhill slide this year, and so it’s inevitable that critics will ask whether it was really necessary for President Obama to meet the Dalai Lama at the White House. It’s a fair question, and the answer is: Yes, it was necessary.",2010-02-21 00:53:26+00:00
Iceland Asks U.S. to Help Ensure It Gets Loans,"Iceland is seeking the help of the United States to ensure that Britain and the Netherlands do not use a dispute over aid to depositors of its collapsed banks to hold up international loans, Prime Minister Johanna Sigurdardottir said Monday in Parliament, The New York Times’s David Jolly reports.",2010-02-22 20:50:45+00:00
A Good Move for NASA,"Saswato Das’s “Farewell to NASA’s glory days” (Views, Feb. 22) misses the point of the Obama administration’s change in NASA policy. Mr. Das notes that manned space flights, “historically a NASA strength,” are giving way to commercial space taxis. A historic strength, however, doesn’t necessarily translate to a best policy. Times change. ",2010-02-23 14:20:53+00:00
A $3.5 Billion Effort Aims to Help Tech Start-Ups,SAN FRANCISCO  Technologists have been worrying aloud for years that America is losing its competitive edge as other countries invest more heavily in technology education and innovation. ,2010-02-24 01:09:04+00:00
A $3.5 Billion Effort Aims to Help Tech Start-Ups,Technologists have been worrying aloud for years that America is losing its competitive edge as other countries invest more heavily in technology education and innovation.,2010-02-24 10:22:14+00:00
New Directors/New Films Series Sets Lineup,"The premiere of a documentary about Bill Cunningham, a photographer for The New York Times, will open New Directors/New Films, the annual series presented by the Film Society of Lincoln Center and the Museum of Modern Art, the society and the museum announced. The documentary, called “Bill Cunningham New York,” follows Mr. Cunningham on his assignments for the Styles sections of The Times and chronicles his life and work over eight decades. It is directed by Richard Press and produced by Philip Gefter, a former staff member of The Times, and will be presented on March 24 at MoMA.",2010-02-25 04:59:03+00:00
China Warns U.S. Against Selling F-16s to Taiwan,BEIJING — A top Chinese military official reaffirmed China’s resolve to punish the United States over its decision to sell weapons to Taiwan and suggested on Thursday that there would be even greater consequences should Washington fulfill a longstanding request by Taiwan for advanced fighter jets.,2010-02-25 14:39:40+00:00
A Ping-Pong Diplomat Back at the Table,A member of the U.S. table tennis team known for visiting China in 1971 and fostering Ping-Pong Diplomacy starts a Ping-Pong league on Roosevelt Island.,2010-02-27 02:14:06+00:00
American Envoys in Beijing to Mend Relations,BEIJING — Two senior United States officials arrived in Beijing on Tuesday for meetings aimed at smoothing relations with China after months of economic and political disputes.,2010-03-02 12:11:47+00:00
An American in Brazil,"In her campaign for the presidency, Hilary Rodham Clinton barely uttered the word Brazil. But as secretary of state, Mrs. Clinton has recognized Brazil as the most powerful country in South America and a rising global power. Her current visit may reflect a political will to make the relationship with Brazil a strategic priority for American foreign policy.",2010-03-02 14:50:30+00:00
A Yahoo Birthday Party With Carol Bartz,"As part of its 15th birthday celebrations, Yahoo on Tuesday invited a group of reporters for a lunch with Carol Bartz, the company’s chief executive. There were plenty of delicious cupcakes but no party hats. And as Ms. Bartz’s public relations handlers warned ahead of the event, there was no news.",2010-03-03 00:12:30+00:00
Shaping Policy by Playing Safe,"BERLIN — The U.S. secretary of defense, Robert M. Gates, rarely ruffles feathers, at least not in public. But when he spoke his mind during a gathering of NATO’s top political and military chiefs last week in Washington, he caused a stir. NATO, he said, was failing to adapt to the needs of the 21st century.",2010-03-03 12:20:49+00:00
Strain on HTC From Apple Suit Is Likely to Be Long-Term,"TAIPEI — Apple’s patent lawsuit against HTC will not cause major problems for the Taiwan technology company in the short term, analysts said Wednesday. But it could strain its relations with partners in the crucial U.S. market and test its leadership, adding to its challenges in the increasingly competitive smartphone field.",2010-03-03 12:20:57+00:00
Iran in Its Intricacy,"PARIS — A year has passed since President Obama’s groundbreaking Nowruz offer to Iran of engagement based on mutual respect. Iran is now a different country, its divided regime weaker and confronted by the Green movement, the strongest expression of people power in the Middle East and a beacon for the region.",2010-03-04 13:40:58+00:00
Hoping Sanctions Work but Readying Gas Masks,"JERUSALEM — Preparations for a strike against Iran’s nuclear program are as evident as ever: the introduction of an attack drone capable of flying hundreds of miles, the frequent open talk of a possible attack, the distribution of new gas masks to the public. ",2010-03-05 01:24:34+00:00
U.S. Enriches Companies Defying Its Policy on Iran,"The federal government has awarded more than $107 billion in contract payments, grants and other benefits over the past decade to foreign and multinational American companies while they were doing business in Iran, despite Washington’s efforts to discourage investment there, records show.",2010-03-06 17:21:30+00:00
"Profiting From Iran, and the U.S.",The New York Times identified 74 corporations that have done business both in Iran and with the U.S. government over the last decade.,2010-03-06 17:54:58+00:00
U.S. Reaches Out to Tokyo’s Real Power,"TOKYO — Even as Japan’s new leaders have promised to transform the way the nation is governed, they have left one thing unchanged: the prime minister, like many before him, is backed by a shadowy leader who is widely seen as really running the country.",2010-03-08 02:02:26+00:00
"Gone, Solid Gone","HELSINKI — President Obama learns with interest that Europe now has a phone number. He’s told that, responding at last to Henry Kissinger’s famous jibe, the European Union has appointed a President named Herman Van Rompuy from Belgium and given him a 24/7 phone line.",2010-03-08 12:10:41+00:00
U.S. Defense Chief Visits Saudi Arabia to Bolster Effort Against Iran,"RIYADH, Saudi Arabia — Defense Secretary Robert M. Gates told the royal family of Saudi Arabia on Wednesday that the United States wanted to help build up the kingdom’s military defenses against the growing threat of Iran, but also needed its help in pressing for new United Nations sanctions on Tehran.",2010-03-10 11:58:29+00:00
U.S. Nears a Crossroads on Trade,"WASHINGTON — After a year in which global exports declined 12 percent in the biggest contraction since World War II, trade policy is heating up again.",2010-03-10 20:48:51+00:00
Debate Grows on Nuclear Containment of Iran,For a few months in the mid-1960s President Johnson and his aides secretly weighed bombing China’s nuclear sites — perhaps seeking Soviet help — rather than let Mao get the bomb. Then the costs of starting another war in Asia sank in and they decided to try containment — living with a threatening regime while deterring its most dangerous moves.,2010-03-13 19:16:49+00:00
Driving Drunk in Jerusalem,"I am a big Joe Biden fan. The vice president is an indefatigable defender of U.S. interests abroad. So it pains me to say that on his recent trip to Israel, when Prime Minister Bibi Netanyahu’s government rubbed his nose in some new housing plans for contested East Jerusalem, the vice president missed a chance to send a powerful public signal: He should have snapped his notebook shut, gotten right back on Air Force Two, flown home and left the following scribbled note behind: “Message from America to the Israeli government: Friends don’t let friends drive drunk. And right now, you’re driving drunk. You think you can embarrass your only true ally in the world, to satisfy some domestic political need, with no consequences? You have lost total contact with reality. Call us when you’re serious. We need to focus on building our country.” ",2010-03-14 02:31:04+00:00
U.S. Agrees on One Thing: D.C. Is Too Partisan,"WASHINGTON — A veteran senator, in a private conversation last week, was despondent: “This place is dysfunctional, and it’s not going to get any better,” he said. It could have been a Democrat or a Republican from the North, South, Midwest or West.",2010-03-15 15:50:14+00:00
China's Missing Human Rights Lawyer,"Peter Gao is six and wants to be an astronaut. If you ask him why, he’ll explain that he wanted to be a lawyer, but the Chinese government “really hates lawyers.” He’s pretty sure that it likes astronauts.",2010-03-18 18:50:21+00:00
"Citing Recession, U.S. Again Presses China on Revaluing Currency","BEIJING — China’s reluctance to allow the value of its currency to rise “is a real concern” to both the United States and the country’s other major trading partners and could be subject to negotiations in coming weeks, the American ambassador to China said on Thursday.",2010-03-19 00:07:41+00:00
The Myths About China's Currency,China fever is again gripping Washington as the U.S. Treasury approaches its mid-April deadline for pronouncing whether China manipulates its currency for unfair trade advantage.,2010-03-19 15:20:39+00:00
The Problem Is Not China,"The Americans are desperate, and with good reason. They have successfully stabilized the U.S. economy after the financial crisis, but the problem is far from over. Despite a moderate recovery, the lack of job creation is serious. ",2010-03-19 15:21:13+00:00
China’s Growth Shifts the Geopolitics of Oil,"Last summer, Saudi Arabia put the final bolt in its largest oil expansion project ever, opening a new field capable of pumping 1.2 million barrels a day — more than the entire production of Texas. The field, called Khurais, was part of an ambitious $60 billion program to increase the kingdom’s production to meet growing energy needs.",2010-03-20 00:24:37+00:00
The Privileged Class,"David Brooks (“A broken society,” Views, March 20) is on target with his assessment of today’s America but he doesn’t mention one of the key elements that has allowed the political polarity to flourish and intensify. Many 40-to-60 year-old members of the privileged, or successful, class have bought into the notion that their success is due almost entirely to their own hard work, ingenuity and dedication. They do not recognize much if any contribution by the society into which they were born. ",2010-03-22 16:11:26+00:00
Google Shuts China Site in Dispute Over Censorship,"SAN FRANCISCO — Just over two months after threatening to leave China because of censorship and intrusions from hackers, Google on Monday closed its Internet search service there and began directing users in that country to its uncensored search engine in Hong Kong.",2010-03-22 19:31:49+00:00
North Korea Says a Detained U.S. Citizen Will Face Trial,"SEOUL, South Korea — An American citizen arrested in January for illegally entering North Korea will be put on trial, the North’s official news agency reported Monday. ",2010-03-23 00:10:12+00:00
"The Early Word: Nukes, Banks, Abortion","President Obama makes good on a promise to anti-abortion Democrats Wednesday, signing an executive order in the afternoon stating that no funds from the health care overhaul may be used to finance abortions.",2010-03-24 12:17:43+00:00
U.S. and Pakistan Agree to Reinforce Strategic Ties,"WASHINGTON — Pakistan and the United States wrapped up two days of high-level talks on Thursday, with a raft of economic development initiatives, an agreement to hasten deliveries of military hardware and a promise to put their often mistrustful relationship on a new footing.",2010-03-25 23:57:15+00:00
China Officials Wrestle Publicly Over Currency,BEIJING — Signs are emerging of conflicting views among China’s leaders over whether to allow the country’s currency to rise against the dollar. ,2010-03-26 01:00:58+00:00
Averting the Iranian Nuclear Flashpoint,"Iran’s nuclear program, and the world’s reaction to it, raise the most profound questions about the strength of international law, the purpose of the United Nations and the rights of states that feel threatened by others. More prosaically, Iran’s nuclear ambitions are a potential flashpoint for war in the Middle East. ",2010-03-26 13:30:31+00:00
Dreaming of Cuban Profits in Post-Embargo World,"CANCÚN, Mexico — Would Americans’ playing bingo in a Havana retirement home violate the Cuban government’s socialist ethos? How about avowed capitalists living on their 401(k) accounts in condominiums along the Cuban coastline? Or, horror of horrors, fast food outlets offering Big Macs, Whoppers and buckets of fried chicken along the seaside Malecón?",2010-03-29 00:49:22+00:00
"Europeans Woo U.S., Promising Relevance","BRUSSELS — Stung by a perception of America’s indifference to its historical alliance with Europe, senior European leaders are calling for a rebalancing of the relationship, promising the Obama administration that the Europeans can be partners for global challenges ranging from security to climate change.",2010-03-29 01:26:18+00:00
Soothing China-U.S. Tensions,A worrisome confrontation is escalating between the United States and China. Washington charges that Beijing is unfairly bolstering Chinese exports by keeping its currency artificially low and is troubled by Beijing’s dispute with Google over Internet censorship. Beijing is telling the United States to mind its own business and is chafing over U.S. arms sales to Taiwan and President Obama’s recent meeting with the Dalai Lama.,2010-03-30 11:30:22+00:00
The Fault Lines of Democracy,"SAN FRANCISCO — China may have invented the first printing press in 593 and published the first woodblock-printed newspaper, Kaiyuan Za Bao, in Beijing in 713. But in 2010 it wants to curb the newest information innovation led by Google.",2010-03-31 13:30:28+00:00
"China, Concubines and Google","Some 2,400 years ago, a Chinese king invited a legendary military strategist named Sun Tzu to give a demonstration in military training  using women from the palace.",2010-04-01 01:36:30+00:00
"Amid Thaw, Obama Talks With Chinese Leader","WASHINGTON — Tensions between China and the United States have ebbed significantly in recent days, with the countries now working together to deter Iran’s nuclear ambitions and with the Obama administration backing off a politically charged clash over China’s currency.",2010-04-01 09:29:38+00:00
"Strains Easing, Obama Talks With Chinese Leader","BEIJING — Tensions between China and the United States have ebbed significantly in recent days, with an hour-long conversation between their two presidents Thursday night and the countries working together to deter Iran’s nuclear ambitions as the Obama administration backs off a politically charged clash over China’s currency. ",2010-04-02 05:53:23+00:00
U.S. to Delay Chinese Currency Report,"The Obama administration said Saturday that it would delay a decision on whether to declare China a currency manipulator, but it vowed to press Chinese leaders on the politically charged issue of its currency valuation during a series of meetings through June. ",2010-04-03 18:43:10+00:00
A Season for Disarmament,"STOCKHOLM — The financial crisis and global warming have had the world’s attention in recent years. Thanks to President Barack Obama’s initiative, perhaps the season for nuclear disarmament has finally arrived.",2010-04-04 16:11:42+00:00
Trade Villain of Its Own Making,"WASHINGTON — The Obama administration has taken aim at what it sees as villains impeding international commerce, especially China.",2010-04-04 16:30:35+00:00
Trade Villain of Its Own Making,"WASHINGTON — The Obama administration has taken aim at what it sees as villains impeding international commerce, especially China.",2010-04-04 16:30:35+00:00
The Vague New Crime of 'Aggression',"MEDFORD, MASSACHUSETTS — Twice in recent months military and political leaders from Israel have reportedly cancelled trips to Britain out of concern that they might be arrested for alleged war crimes. ",2010-04-05 13:00:50+00:00
Obama Limits When U.S. Would Use Nuclear Arms,WASHINGTON — President Obama said Monday that he was revamping American nuclear strategy to substantially narrow the conditions under which the United States would use nuclear weapons. ,2010-04-06 00:21:00+00:00
America and India Make a Pledge to Cooperate on Economic Issues,"NEW DELHI — China’s currency and role in global trade may be on economic policy makers’ minds in the United States and India, but it certainly was not on their lips here on Tuesday. ",2010-04-06 11:50:47+00:00
Early Word: New Thinking About the Unthinkable,"President Obama will formally release his new strategy for nuclear weapons today, an approach that he previewed Monday in an exclusive interview with The Times’s David E. Sanger and Peter Baker.",2010-04-06 12:22:27+00:00
South Africa Energy Needs Collide With U.S. Policy,"JOHANNESBURG — The Obama administration, caught in an awkward bind between its own ambitions on climate change and Africa’s pressing energy needs, is facing the first test of its new guidelines discouraging coal-fired power projects in developing nations. ",2010-04-07 02:12:25+00:00
U.S. Waiting for China on Iran Issue,"NEW YORK — You can almost feel the waves of wishful thinking emanating from Washington these days that China, after refusing for years, will finally agree to U.N.-approved economic sanctions against Iran for its violations of obligations under the Non-Proliferation Treaty. ",2010-04-07 11:41:51+00:00
"After Prague, What's Next for Arms Control?","In Prague one year ago, President Obama declared “America’s commitment to seek the peace and security of a world without nuclear weapons.” The speech elicited strong reactions around the world. Elites and media who favor nuclear disarmament applauded. Others jeered, warning that a world without nuclear weapons would destabilize regional and global power balances and raise the risks of great power war. ",2010-04-07 13:40:42+00:00
Building a Green Economy,"If you listen to climate scientists — and despite the relentless campaign to discredit their work, you should — it is long past time to do something about emissions of carbon dioxide and other greenhouse gases. If we continue with business as usual, they say, we are facing a rise in global temperatures that will be little short of apocalyptic. And to avoid that apocalypse, we have to wean our economy from the use of fossil fuels, coal above all.",2010-04-07 13:48:38+00:00
Weighing an Obama Plan to End a Mideast Logjam,"WASHINGTON — Two weeks ago, Gen. James L. Jones, the national security adviser, was holding a meeting at the White House with a high-powered array of his predecessors when President Obama dropped in.",2010-04-07 16:20:49+00:00
China Seems Set to Loosen Hold on Its Currency,"HONG KONG — The Chinese government is preparing to announce in the coming days that it will allow its currency to strengthen slightly and vary more from day to day, people with knowledge of the emerging consensus in Beijing said on Thursday. The move would help ease tension with the Obama administration about the United States’ huge trade deficit with China. ",2010-04-08 14:36:19+00:00
South Korean Sailors Say Blast That Sank Their Ship Came From Outside the Vessel,"SEOUL, South Korea — It could take weeks for engineers to salvage the South Korean warship that sank in waters disputed by North Korea after a mysterious explosion and provide a definitive explanation of what caused the disaster. But some signs are pointing to North Korea, raising uncomfortable questions for the South’s government. ",2010-04-08 16:33:59+00:00
Waffling on Muzzling the Mullahs,"PARIS — The United States’ notions of U.N. sanctions on Iran have devolved over the past months from crippling ones to ones that bite to the currently described smart ones, which although packaged with the words tough and strong might not be hard-nosed enough to cost the mullahs a half-hour’s lost sleep.",2010-04-12 13:20:40+00:00
China Pledges to Work With U.S. on Iran Sanctions,"WASHINGTON — President Obama secured a promise from President Hu Jintao of China on Monday to join negotiations on a new package of sanctions against Iran, administration officials said, but Mr. Hu made no specific commitment to backing measures that the United States considers severe enough to force a change in direction in Iran’s nuclear program.",2010-04-12 19:51:28+00:00
Win a Meeting With the President,"WASHINGTON — For President Obama, the first three days of this week are the diplomatic equivalent of speed dating. Every few minutes, it seems, another foreign leader is escorted into the room. They sit, they talk, they pledge mutual cooperation. And then it is on to the next one.",2010-04-13 01:42:21+00:00
Europe Fears Fallout From U.S.-Russia Adoption Tiff,"LONDON — The decision by an American woman, Torry Ann Hansen, to send her adopted son back to Russia and the diplomatic dispute between the two countries that followed also raised concern in Europe. ",2010-04-13 19:09:25+00:00
