headline,lead_paragraph,date
It’s Time for an Immigration Enchilada,"MEXICO CITY — Immigration has been on the United States-Mexico agenda for years. In recent times, three American attempts at comprehensive immigration reform, which included amnesty for undocumented Mexicans in the United States and a temporary-worker visa program, have failed. A bilateral effort between 2001 and 2003 also collapsed.",2018-02-07 10:52:24+00:00
Trump Trade Measures Set Off a Global Legal Pushback,"WASHINGTON — Tariffs imposed by the United States late last month are prompting a wave of litigation from other nations, including Canada and China, escalating concerns that the Trump administration’s more aggressive trade stance could worsen international relations and spur retaliatory actions on American goods sent abroad.",2018-02-09 23:41:12+00:00
Kim Jong-un Invites South Korean Leader to North for Summit Meeting,"SEOUL, South Korea — North Korea’s reclusive leader, Kim Jong-un, extended an extremely rare invitation to a foreign head of state on Saturday, using the diplomatic opening created by the Olympics in South Korea to ask its leader, President Moon Jae-in, to visit the North for a summit meeting.",2018-02-10 00:24:03+00:00
"Who Is Harry Harris, Trump’s Pick for Ambassador to Australia?","SYDNEY, Australia — President Trump has said he plans to nominate Adm. Harry B. Harris Jr., the commander of the United States Pacific Command and a vocal critic of China’s military expansion in the region, as ambassador to Australia.",2018-02-12 16:45:24+00:00
U.S. and Russia Revive Cold-War Game of Provocative Street Names,MOSCOW — Trolling between the United States and Russia apparently is not limited to Twitter bots.,2018-02-12 21:39:25+00:00
Forget Trump’s U.S. as the Mideast’s Mediator,"A year ago, we in Palestine, like everyone else, did not know what a President Trump would bring. Today, we know: He has taken Israel’s side in the Israeli-Palestinian struggle while dismissing the roles of international law, international organizations and American diplomatic tradition in the Middle East peace process.",2018-02-13 06:22:25+00:00
"Jordan, a Pivotal Arab Ally, Gets More U.S. Aid Despite Rancor Over Jerusalem","AMMAN, Jordan — President Trump threatened to retaliate against aid recipients like Jordan for having denounced his decision in December to recognize Jerusalem as Israel’s capital. But on Wednesday, his top diplomat gave Jordan more money.",2018-02-14 18:41:57+00:00
"U.S. Revives Concerns About European Defense Plans, Rattling NATO Allies","MUNICH — After years of encouraging European nations to work together to provide more of their own defense, the United States is having second thoughts, driven by concerns about NATO and possible protectionism in defense industries.",2018-02-18 17:59:09+00:00
"North Korea Dropped Out of Meeting With Pence at Last Minute, U.S. Says","WASHINGTON — Vice President Mike Pence had planned to secretly meet with a high-level delegation of North Korean leaders while he was at the Winter Olympics in South Korea this month, but the North Koreans canceled at the last minute, according to the State Department.",2018-02-21 04:45:26+00:00
"As China Puts Pressure on Taiwan, Signs of a U.S. Pushback","BEIJING — As China ratchets up pressure on Taiwan, the self-governing island it claims as its territory, the United States is cautiously starting to push back.",2018-02-22 09:32:06+00:00
U.S. Blocks a Chinese Deal Amid Rising Tensions Over Technology,"HONG KONG — United States officials have torpedoed a Chinese state-backed group’s plan to buy an American electronics company, signaling the Trump administration’s continuing skepticism toward Chinese investment deals, particularly those that involve transferring technological know-how.",2018-02-23 09:24:12+00:00
Top Chinese Official Plans U.S. Trip to Address Trade Friction,BEIJING — President Xi Jinping of China is sending his top economic policymaker to Washington on Tuesday in a bid to reduce trans-Pacific trade tensions before China’s congress convenes for its annual session.,2018-02-23 19:27:36+00:00
"At U.S. Urging, Pakistan to Be Placed on Terrorism-Financing List","ISLAMABAD, Pakistan — At the urging of the Trump administration, an international task force has decided to place Pakistan on a terrorism-financing watch list, a decision that has stunned and alarmed Pakistani officials and one that could deliver a major blow to the nation’s economy.",2018-02-24 00:28:20+00:00
Will the U.S. Help the Saudis Get a Nuclear Weapon?,The last thing the Middle East needs is another country with the potential to build nuclear weapons. Yet that could happen if the United States mishandles Saudi Arabia’s plans to enter the nuclear power business and erect as many as 16 nuclear reactors for electricity generation over 25 years.,2018-02-25 23:55:24+00:00
Trump Trade Sanctions Aimed at China Could Ensnare Canada,"WASHINGTON — China is the main target of possible tough new United States trade measures against low-priced imports of steel and aluminum. But the sanctions threaten to ensnare America’s closest allies, particularly Canada.",2018-02-26 00:38:02+00:00
President Xi’s Strongman Rule Raises New Fears of Hostility and Repression,"President Xi Jinping’s efforts to indefinitely extend his rule as China’s leader, announced on Sunday, raised fresh fears in China of a resurgence of strongman politics — and fears abroad of a new era of hostility and gridlock.",2018-02-26 01:01:21+00:00
"Teaching Activities for: ‘North Korea Is Willing to Talk With U.S., South’s Leader Says’",Before reading the article: ,2018-02-26 08:03:02+00:00
South Korean Leader Urges U.S. and North Korea to Make Talks Possible,"SEOUL, South Korea — South Korea’s president, Moon Jae-in, urged the United States and North Korea on Monday to soften their uncompromising stances so that talks could start on defusing the crisis prompted by the North’s nuclear program and Washington’s threats to stop it with military force.",2018-02-26 11:18:14+00:00
"With Xi’s Power Grab, China Joins New Era of Strongmen","BEIJING — There was a time, not so long ago, when a Chinese leader setting himself up as ruler for life would have stirred international condemnation for bucking the global trend toward greater democracy. Now, such an action seems fully in keeping with moves by many countries in the other direction.",2018-02-26 13:12:32+00:00
"Xi Jinping Extends Power, and China Braces for a New Cold War","BEIJING — Having cast aside presidential term limits, China is bracing for relations with the United States to enter a dangerous period under the continuing leadership of President Xi Jinping, intending to stand firm against President Trump and against policies it sees as attempts to contain its rise, according to Chinese analysts.",2018-02-27 18:30:12+00:00
Jared Kushner’s Security Clearance Downgraded,"WASHINGTON — Jared Kushner, the president’s son-in-law and senior adviser, has been stripped of his top-secret security clearance after months of delays in completing his background check, and will now be limited in his ability to view highly classified information, a White House official and another person familiar with Mr. Kushner’s situation said on Tuesday.",2018-02-27 21:33:29+00:00
"Xi Jinping, Brexit, White House: Your Thursday Briefing",Good morning. ,2018-02-28 19:02:05+00:00
"U.S. Banks on Diplomacy With North Korea, but Moves Ahead on Military Plans","WASHINGTON — A classified military exercise last week examined how American troops would mobilize and strike if ordered into a potential war on the Korean Peninsula, even as diplomatic overtures between the North and the Trump administration continue.",2018-03-01 00:40:01+00:00
China Envoy Seeks to Defuse Tensions With U.S. as a Trade War Brews,WASHINGTON — China’s top economic adviser arrived in Washington this week in an attempt to defuse rapidly escalating tensions with the United States as the prospect of a trade war between the world’s two largest economies looms.,2018-03-01 01:32:51+00:00
"Pakistan’s Shields Suddenly Step Aside, Placing It on Terrorism Listing","NEW DELHI — During the debate last week over a United States-sponsored measure to throw Pakistan onto a global terrorism-financing watchlist, it appeared that Saudi Arabia and China were going to quickly shut it all down. The Pakistani foreign minister sounded a triumphant note.",2018-03-01 12:55:05+00:00
Putin’s ‘Invincible’ Missile Is Aimed at U.S. Vulnerabilities,"MOSCOW — President Vladimir V. Putin of Russia threatened the West with a new generation of nuclear weapons Thursday, including what he described as an “invincible” intercontinental cruise missile and a nuclear torpedo that could outsmart all American defenses.",2018-03-01 13:25:54+00:00
"U.S. Aircraft Carrier Arrives in Vietnam, With a Message for China","BANGKOK — For the first time since the end of the Vietnam War, a United States aircraft carrier made a port call in Vietnam on Monday, signaling how China’s rise is bringing together former foes in a significant shift in the region’s geopolitical landscape.",2018-03-04 13:39:22+00:00
‘President for Life’? Trump’s Remarks About Xi Find Fans in China,"BEIJING — The comment was made behind closed doors, and appeared to be in jest: President Trump told donors on Saturday that China’s president, Xi Jinping, was now “president for life,” and added: “I think it’s great. Maybe we’ll want to give that a shot someday.”",2018-03-04 20:43:20+00:00
Europe Once Saw Xi Jinping as a Hedge Against Trump. Not Anymore.,"BRUSSELS — A year ago, the self-styled global elite gathered at Davos, shaken by the election of Donald J. Trump, who made no secret of his contempt for the multilateral alliances and trade that underpin the European Union.",2018-03-04 22:42:57+00:00
A Russian Threat on Two Fronts Meets an American Strategic Void,"WASHINGTON — Just hours after President Vladimir V. Putin of Russia boasted last week about producing “invincible” new nuclear arms designed to evade American missile defenses, President Trump’s nominee to command the nation’s military cyberunits was being grilled at a Senate confirmation hearing about another vexing Russian threat.",2018-03-05 10:00:55+00:00
America’s Other Espionage Challenge: China,"With all the focus on Russian meddling in the 2016 election, the damage done by China’s vigorous and continuing espionage against the United States has taken a back seat.",2018-03-05 10:45:28+00:00
"Tariffs, Italy, Syria: Your Tuesday Briefing",(Want to get this briefing by email? Here’s the sign-up.),2018-03-05 19:02:30+00:00
"With U.S. and North Korea, a Repeated History of Hope and Disappointment","WASHINGTON — Diplomacy between the United States and North Korea has gone through familiar cycles of long stagnation, followed by brief bursts of hope and then inevitable disappointment, typically after North Korea reneged. President Trump’s three predecessors each went through the cycle.",2018-03-06 20:04:56+00:00
The New U.S.-China Rivalry: A Technology Race,"WASHINGTON — As the United States and China look to protect their national security needs and economic interests, the fight between the two financial superpowers is increasingly focused on a single area: technology.",2018-03-07 00:08:59+00:00
"Raising Hopes, North Korea Offers to Talk About Its Nuclear Arsenal","SEOUL, South Korea — North Korea’s sudden willingness to bargain with the Trump administration over scrapping its atomic arsenal surprised the world on Tuesday, setting in motion an unpredictable diplomatic dance with the United States and South Korea, but raising hopes that one of the most dangerous confrontations of the nuclear age could be defused.",2018-03-07 01:10:14+00:00
Talks With North Korea? China Approves (No Matter the Outcome),"BEIJING — When China hosted the last serious talks on North Korea’s nuclear weapons program, in the mid-2000s, the setting was a huge, hexagonal table covered in green felt, in a government guesthouse in Beijing.",2018-03-07 13:52:34+00:00
China’s Huawei Is at Center of Fight Over 5G’s Future,"HONG KONG — When top tech minds sat down to set the global standards underpinning today’s cellphone networks, China was left largely on the sidelines. Companies in the West owned much of the crucial technology, and they prospered.",2018-03-07 19:45:55+00:00
"Kushner Meets With Mexican President, Underscoring Shift in U.S. Diplomacy","MEXICO CITY — Jared Kushner, President Trump’s son-in-law and senior adviser, met with Mexico’s president on Wednesday, arriving just weeks after a planned meeting between the nations’ leaders fell apart because of a bitter phone dispute over Mr. Trump’s proposed border wall.",2018-03-07 23:57:48+00:00
U.S. Allies Sign Sweeping Trade Deal in Challenge to Trump,"SANTIAGO, Chile — A trade pact originally conceived by the United States to counter China’s growing economic might in Asia now has a new target: President Trump’s embrace of protectionism.",2018-03-08 10:34:45+00:00
"International Women’s Day, Sergei Skripal, North Korea: Your Friday Briefing",(Want to get this briefing by email? Here’s the sign-up.),2018-03-08 19:07:36+00:00
Little Evidence Supports Trump’s Claims Against China on Tariffs and Trade,"President Trump imposed steep tariffs on steel and aluminum imports on Thursday, singling out China as a top offender in an effort to curb what he has called unfair trade practices. But there is little evidence to support his dismissal of estimates that say Chinese steel accounts for only a small percentage of imports into the United States.",2018-03-09 02:03:01+00:00
Word of Trump-Kim Summit Meeting Stirs Concern in Asia,"TOKYO — As North Korea conducted ballistic missile and nuclear tests and President Trump threatened fiery responses last year, Japan and South Korea feared the worst: a nuclear conflict on their front doorsteps.",2018-03-09 04:37:14+00:00
Road to Talks Between the U.S. and North Korea Has Been Bumpy,"President Trump agreed on Thursday to meet Kim Jong-un, the North Korean leader. If talks go forward, they would be the highest-level meeting between the two countries. No sitting president has ever met — or even spoken on the phone — with a North Korean leader.",2018-03-09 11:49:26+00:00
U.S. Allies Jostle to Win Exemptions From Trump Tariffs,"FRANKFURT — South Korea made an impassioned appeal to the American secretary of defense and national security adviser, reminding them of its role trying to defang North Korea. Europe pointed out that it was, in fact, a longstanding military ally of the United States.",2018-03-09 16:05:46+00:00
Trump’s Unpredictability on Trade and North Korea Opens a Door for China,"TOKYO — Under normal circumstances, just one of the announcements that came out of the White House on Thursday would have unnerved American allies in Asia.",2018-03-10 18:44:33+00:00
Where Might Trump and Kim Jong-un Meet? Here Are Some Possibilities,"HONG KONG — Among the many questions about a meeting between President Trump and Kim Jong-un, the North Korean leader, is where it might happen.",2018-03-12 10:16:46+00:00
China Sells Stake in Blackstone as Deal Scene Turns Sour,"At a time when deals between American and Chinese companies are on the rocks, an early example that united a major Wall Street deal maker with the Chinese government has come to an end.",2018-03-14 09:31:07+00:00
"Tillerson’s Ouster Has Allies Hoping for Coherence, but Fearing the Worst","BRUSSELS — The operatic ouster of Rex Tillerson leaves a State Department angry and adrift, and a world even more confused about the management and direction of American foreign policy, hoping but not expecting that the change leads to greater coherence in Washington.",2018-03-14 18:48:00+00:00
"Xi Starts New Term in China, With Trusted Deputy to Deal With Trump","BEIJING — Xi Jinping started his second term as China’s president on Saturday, flanked by a new vice president, Wang Qishan, who even without any other titles to his name is shaping up as a potent deputy to Mr. Xi, with a potentially powerful say in grappling with the Trump administration over trade disputes.",2018-03-17 03:08:10+00:00
"Smuggling of U.S. Technology Is Outpacing Cold War Levels, Experts Say","WASHINGTON — Foreign smugglers are trying to ship advanced American technologies — which can be used for weapons and spy equipment — to China, Russia and other adversaries at rates that outpace shadowy and illegal exports during the Cold War, according to United States officials and experts.",2018-03-17 15:59:29+00:00
"Embracing China, Facebook and Himself, Cambodia’s Ruler Digs In","STUNG TRANG, Cambodia — As the sun rose over the murk of the Mekong River, the man who has ruled Cambodia for more than three decades, Prime Minister Hun Sen, clasped hands with the Chinese ambassador and beamed.",2018-03-17 23:44:00+00:00
U.S. Taking Negotiations ‘One Week at a Time’ on Expiring Iran Deal,"VIENNA — As they gathered last week, perhaps for the last time, diplomats from countries that brokered the Iran nuclear accord publicly and uniformly declared it was working — despite a death watch over the deal in Washington.",2018-03-21 13:40:09+00:00
"In Taiwan, U.S. Official Says Commitment ‘Has Never Been Stronger’","TAIPEI, Taiwan — A State Department official on Wednesday reasserted America’s commitment to Taiwan’s defense at a dinner attended by its president, a day after China’s leader issued a stern warning against any challenges to China’s claim to the island.",2018-03-21 18:03:08+00:00
Trump Plans Stiff Trade Tariffs and Other Penalties on China,"WASHINGTON — President Trump on Thursday plans to announce at least $50 billion worth of annual tariffs and other penalties on China for its theft of technology and trade secrets, which administration officials say has robbed American companies of billions of dollars in revenue and killed thousands of jobs.",2018-03-21 23:46:12+00:00
Trump Says Getting Tough on Chinese Trade Will Empower the U.S. He Risks the Opposite.,"LONDON — In recent history as narrated by President Trump, the United States has been fleeced and humiliated by savvier nations unrestrained by naïve notions like global trading rules. Predatory powers have exploited American weakness to steal factory jobs, sowing despair.",2018-03-22 09:00:07+00:00
What’s Next for Stocks After the China Tariffs: DealBook Briefing,Good Thursday Here’s what we’re watching:,2018-03-22 11:49:24+00:00
"U.S. Exempts Some Allies From Tariffs, but May Opt for Quotas","WASHINGTON — The Trump administration began imposing stiff tariffs on imported steel and aluminum early on Friday morning. But it granted a brief exemption to some allies, and in a twist, said it might impose import quotas to prevent too much foreign metal from flooding into the United States.",2018-03-22 13:34:02+00:00
Trump Hits China With Stiff Trade Measures,"President Trump put China squarely in his cross hairs on Thursday, imposing tariffs on as much as $60 billion worth of Chinese goods to combat the rising threat from a nation that the White House has called “an economic enemy.”",2018-03-22 16:12:45+00:00
Trump’s Trade Threats Put China’s Leader on the Spot,"BEIJING — For the better part of two decades, China’s leaders have made the most of the global trade rules set by the United States and others, seizing on opportunities to bolster their nation’s economic rise while finessing American complaints that they were not always playing fair.",2018-03-22 17:09:06+00:00
Quotation of the Day: U.S. Imposes Tariffs on $60 Billion Worth of Chinese Goods,"“People in the U.S. and China have for years said the wolf is coming, the wolf is coming, but the wolf hasn’t come. This time, the wolf is coming.”",2018-03-23 00:51:08+00:00
"Phan Van Khai, First Vietnamese Prime Minister to Visit Washington, Dies at 84","HONG KONG — Phan Van Khai, a Soviet-trained Vietnamese prime minister who helped his country transition away from a state-dominated economy and build a stronger relationship with the United States, died last Saturday in Ho Chi Minh City. He was 84.",2018-03-23 06:01:04+00:00
‘The Whole World Should Be Concerned’: U.S. Allies React to Bolton’s Appointment,"BRUSSELS — John Bolton’s appointment as national security adviser seems to many around the world to represent an uninhibited President Trump, and they are trying to puzzle out what exactly that means.",2018-03-23 07:05:35+00:00
Why China’s Response to Trump’s Tariffs Is So Muted,"BEIJING — In a tit-for-tat trade battle with the United States, China’s response has so far been restrained.",2018-03-23 16:04:53+00:00
Tariff Battle: Where the U.S. and Chinese Moves May Lead,"President Trump pushed forward with a two-pronged trade offensive this week, enacting tariffs on imported aluminum and steel on Friday, a day after announcing levies on up to $60 billion in Chinese goods. The target of both actions is China, a country that Mr. Trump has called “an economic enemy” of the United States.",2018-03-23 20:21:34+00:00
"For the U.S. and China, a Technology Cold War That’s Freezing Over",A cold war is being waged across the world’s most advanced industries. And it just got a lot chillier.,2018-03-23 21:15:24+00:00
Strong Reactions to U.S. Trade Moves,"The White House, engaged in a trade dispute with China, has announced exemptions to steel and aluminum tariffs for several allies, including the European Union, and is marginalizing the World Trade Organization. Below is a selection of notable reactions to the protectionist moves.",2018-03-24 16:21:23+00:00
"As Ties With Mexico Fray, Kushner Works Quietly to Mend Them","WASHINGTON — When President Trump complained that the $1.3 trillion spending bill he grudgingly signed on Friday did not pay for his border wall, he kept alive an issue that has poisoned relations between the United States and Mexico from the day he took office.",2018-03-24 20:22:51+00:00
The Trade Issue That Most Divides U.S. and China Isn’t Tariffs,"BEIJING — China has struck a hard stance on the issue at the root of the looming trade fight between Beijing and Washington: China’s government-led drive, which Washington describes as breaking international rules, to build the cutting-edge industries of the future.",2018-03-26 13:50:24+00:00
The Post-World War II Order Is Under Assault From the Powers That Built It,LONDON — History was not supposed to turn out this way.,2018-03-26 23:12:01+00:00
Why Were the Russians in Vietnam?,"We know today why it took the United States so long to disengage from Vietnam: Leaving meant showing weakness in the face of the global Communist menace, prompting a backlash at home and the loss of America’s credibility among allies.",2018-03-27 09:45:06+00:00
Trump’s China Policy Has a Flaw: It Makes China the Winner,"Since the days of the Nixon administration nearly 50 years ago, American policy has aimed to steer China out of its isolation to prosper in the global market economy. There needn’t be conflict between the established superpower and the emerging giant, the best strategic minds argued. As it grew rich, they reasoned, China could be integrated peacefully into the institutional framework built by the Western powers from the rubble of World War II.",2018-03-27 15:19:11+00:00
When Xi Met Kim: How China and North Korea Depicted It,"BEIJING — Kim Jong-un’s surprise visit to Beijing this week to meet President Xi Jinping added an element of intrigue to talks over North Korea’s nuclear program. It was also a propaganda opportunity for both men. For Mr. Xi, the meeting was a chance to cultivate an image as a peacemaker on the global stage. For Mr. Kim, it was an opportunity to signal membership in the club of world leaders.",2018-03-28 11:34:34+00:00
Kim Jong-un’s China Visit Strengthens His Hand in Nuclear Talks,"BEIJING — With a dose of mystery and the flair of a showman, North Korea’s young leader, Kim Jong-un, used his debut as an international statesman on Wednesday to present himself as confident, reasonable — and willing to bargain.",2018-03-28 14:48:38+00:00
White House Looks to Use Emergency Law to Halt Chinese Investment,"WASHINGTON — As the White House prepares to levy punishing tariffs on an array of Chinese goods, it is planning a much more strategic strike against China’s dominance in cutting-edge technology by restricting investment in American innovation.",2018-03-28 23:07:08+00:00
Let Us Catch You Up on the Biggest Stories in Politics This Week,"Even with Congress on break, there was a lot of news this week. From the expulsion of Russian diplomats to a citizenship question on the 2020 census, here are five of the biggest stories in American politics this week, in a nutshell. (And some additional links if you want to read further.) ",2018-03-30 17:15:15+00:00
Let Us Catch You Up on the Biggest Stories in Politics This Week,"Even with Congress on break, there was a lot of news this week. From the expulsion of Russian diplomats to a citizenship question on the 2020 census, here are five of the biggest stories in American politics this week, in a nutshell. (And some additional links if you want to read further.) ",2018-03-30 17:15:15+00:00
14 Million Visitors to U.S. Face Social Media Screening,"Nearly all applicants for a visa to enter the United States — an estimated 14.7 million people a year — will be asked to submit their social media user names for the past five years, under proposed rules that the State Department issued on Friday.",2018-03-30 18:57:14+00:00
"China Slaps Tariffs on 128 U.S. Products, Including Wine, Pork and Pipes","BEIJING — The Chinese government hit back Monday at President Trump’s tariffs on steel and aluminum by acting on a threat to put tariffs as high as 25 percent on imports of 128 American-made products, including pork and seamless steel pipes.",2018-04-02 02:19:29+00:00
"China, Steven Bochco, Notre Dame: Your Monday Briefing", (Want to get this briefing by email? Here’s the sign-up.),2018-04-02 09:31:54+00:00
"White House Unveils Tariffs on 1,300 Chinese Products","WASHINGTON — The Trump administration said Tuesday that it will place a 25 percent tariff on Chinese products like flat-screen televisions, medical devices, aircraft parts and batteries, outlining more than 1,300 imported goods that will soon face levies as part of a sweeping trade measure aimed at penalizing China for its trade practices.",2018-04-03 22:33:39+00:00
"As Trade Tensions Rise, Here Are Some Lessons From Brexit: DealBook Briefing",Good Wednesday. Here’s what we’re watching:,2018-04-04 11:42:23+00:00
Stocks Rise on Wall Street Even as Trade Fight Between U.S. and China Grows,Stocks rose on Wednesday in a roller-coaster trading session during which investors were whipsawed by updates on an escalating trade dispute between the United States and China.,2018-04-04 13:31:37+00:00
White House Tries to Tamp Down Trade War Fears as China Retaliates,"WASHINGTON — White House officials moved quickly on Wednesday to calm fears of a potential trade war with China, saying the administration’s proposed tariffs were a “threat” that would ultimately help, not hurt, the United States economy, hours after China said it would punish American products with similar levies.",2018-04-04 14:24:32+00:00
The Latest on the U.S.-China Trade Conflict: Exchanging Tariffs,It looks a lot like a trade war.,2018-04-04 16:21:02+00:00
"In Sparing Consumers Tariff Burden, Trump Hit Manufacturing","In the escalating economic showdown between the United States and China, President Trump is trying to put American shoppers first. The administration did not place tariffs on necessities like shoes and clothes, and mostly spared smartphones from the 25 percent levy on Chinese goods announced this week.",2018-04-05 00:31:28+00:00
"If There’s a U.S.-China Trade War, China May Have Some ‘Unconventional Weapons’","Until Thursday afternoon, there had been a reassuring sense of restrained, tit-for-tat reciprocity in the trade skirmish between the United States and China.",2018-04-05 09:00:06+00:00
"India Is Close to Buying a Russian Missile System, Despite U.S. Sanctions","NEW DELHI — India’s defense minister is visiting Moscow this week to finalize the purchase of a Russian missile defense system, Indian officials say, in a weapons deal that would violate American sanctions against Russia.",2018-04-05 09:19:48+00:00
Why China Is Confident It Can Beat Trump in a Trade War,BEIJING — China’s leaders sound supremely confident that they can win a trade war with President Trump.,2018-04-05 16:07:46+00:00
The Art of the Flail,"If you’ve been watching stock markets, you’re probably feeling seasick. The Dow is crashing! No, it’s bouncing back! Wait, it’s crashing again!",2018-04-05 21:03:57+00:00
Trump Doubles Down on Potential Trade War With China,"WASHINGTON — President Trump said Thursday that the United States would consider slapping tariffs on an additional $100 billion in Chinese goods, escalating a potentially damaging trade dispute with Beijing.",2018-04-05 23:23:26+00:00
"China, Donald Trump, Russia: Your Friday Briefing", (Want to get this briefing by email? Here’s the sign-up.),2018-04-06 09:34:45+00:00
"U.S. and China Play Chicken on Trade, and Neither Swerves",SHANGHAI — At the heart of the intensifying trade dispute between the United States and China is a fundamental question: Which country is more willing to endure short-term pain for the long-term gain of playing a leading role in high-tech industries.,2018-04-06 14:52:31+00:00
The Biggest Stories in American Politics This Week,"From the administration’s return to a hard-line immigration policy to the escalating possibility of an international trade war, it’s been another busy week in Washington. Here are five of the biggest stories driving American politics. (And some additional links if you want to read further.) ",2018-04-06 18:48:23+00:00
Farmers’ Anger at Trump Tariffs Puts Republican Candidates in a Bind,WASHINGTON — As President Trump moves to fulfill one of the central promises of his campaign — to get tough on an ascendant China — he faces a potential rebellion from a core constituency: farmers and other agricultural producers who could suffer devastating losses in a trade war.,2018-04-07 16:37:36+00:00
"Xi Jinping Urges Dialogue, Not Confrontation, After Trump Seeks Tariffs","BOAO, China — President Xi Jinping on Tuesday portrayed China as committed to opening its economy as he presented an alternative vision to President Trump’s calls for tariffs and restricting trade, urging “dialogue rather than confrontation.”",2018-04-10 02:22:29+00:00
"British Banks Will Have to Cut Ties to Sanctioned Oligarchs, U.S. Says","LONDON — The United States on Tuesday ratcheted up its efforts to block Kremlin-linked industrialists from doing business in the West, warning that British banks will have to sever their relationships with the tycoons if they want continued access to American financial institutions.",2018-04-10 22:28:21+00:00
"U.S. and North Korea in ‘Detailed’ Talks on Trump-Kim Meeting, South Says","SEOUL, South Korea — The United States and North Korea have been negotiating with “will and sincerity” over the details of the planned talks between President Trump and the North’s leader, Kim Jong-un, President Moon Jae-in of South Korea said on Wednesday.",2018-04-11 12:34:15+00:00
"E.U. Likes Trump’s Stance on China, but Hates His Methods",BRUSSELS — Virtually no one in Europe wants President Trump to plunge headlong into a trade war with China. But nearly everyone thinks that it is time to stand up to China’s closed markets and trade manipulation.,2018-04-11 15:37:06+00:00
Xi Jinping Promotes Openness at a China Forum Rife With Restrictions,"BOAO, China — The International Monetary Fund chief praised his openness. A senior British banker lauded his authoritarian rule. The Philippine president said he loves the man.",2018-04-11 16:50:26+00:00
"Facebook, Paul Ryan, Bashar al-Assad: Your Thursday Briefing",(Want to get this briefing by email? Here’s the sign-up.),2018-04-11 20:06:10+00:00
Economists Say U.S. Tariffs Are Wrong Move on a Valid Issue,"WASHINGTON — President Trump’s advisers insist that the economics profession is solidly behind the administration’s threat to impose tariffs on hundreds of billions of dollars of Chinese imports. Many top economists say, no, they’re not.",2018-04-11 21:54:13+00:00
