headline,lead_paragraph,date
China Halts New Policy on Tech for Banks,"HONG KONG — China has suspended a policy that would have effectively pushed foreign technology companies out of the country’s banking sector, according to a note sent by Chinese regulators to banks.",2015-04-16 14:19:56+00:00
"At Global Economic Gathering, U.S. Primacy Is Seen as Ebbing","WASHINGTON — As world leaders converge here for their semiannual trek to the capital of what is still the world’s most powerful economy, concern is rising in many quarters that the United States is retreating from global economic leadership just when it is needed most.",2015-04-17 18:25:54+00:00
Deal or No Deal?,"The Obama team’s effort to negotiate a deal with Iran that could prevent the Iranians from developing a nuclear bomb for at least a decade is now entering its critical final stage. I hope that a good, verifiable deal can be finalized, but it will not be easy. If it were, we’d have it by now. Here are the major challenges:",2015-04-22 07:21:05+00:00
Japan Must Join China’s Bank,"TOKYO — Last week, 57 nations became founding members of the Asian Infrastructure Investment Bank, the China-led regional development bank. Japan and the United States opted not to join, expressing doubts over governance and transparency at the new organization.",2015-04-22 12:00:21+00:00
"As ‘Mad Men’ Ends, the Woman Behind the Costumes Is Just Getting Started","Janie Bryant, the costume designer of “Mad Men,” was standing in a cordoned-off area in the second-floor shoe department of Nordstrom at the Westfield Garden State Plaza mall in Paramus, N.J., on a recent Thursday evening, wearing a red blouse and a pencil skirt and clutching a microphone. “Hello, everybody!” she said over the general din of piped-in Ariana Grande and Cinnabon.",2015-04-22 21:08:45+00:00
Cash Flowed to Clinton Foundation Amid Russian Uranium Deal,"The headline on the website Pravda trumpeted President Vladimir V. Putin’s latest coup, its nationalistic fervor recalling an era when its precursor served as the official mouthpiece of the Kremlin: “Russian Nuclear Energy Conquers the World.”",2015-04-23 04:04:11+00:00
Q. and A.: Henry Paulson on ‘Dealing With China’,"By the time Henry M. Paulson Jr. made his first trip to China as the United States Treasury secretary in September 2006, he was well-acquainted with China. He had already clocked 70 trips during his time at Goldman Sachs, where he was chairman and chief executive. Many more visits came after, allowing Mr. Paulson to promote relations between the United States and China, but also to deepen personal links with China’s leaders.",2015-04-24 09:21:42+00:00
Japan and U.S. Set New Rules for Military Cooperation,"WASHINGTON — President Obama and Prime Minister Shinzo Abe of Japan have reached an accord to tighten defense cooperation and are pressing toward an agreement to tear down trade barriers between their two countries and across the Pacific Rim, as both leaders move to counter rising economic and military threats from China.",2015-04-27 21:17:39+00:00
"No Deal, but Progress on Trans-Pacific Trade, Obama and Shinzo Abe Say After Meeting","WASHINGTON — When President Obama visited Tokyo last year, a dinner that Prime Minister Shinzo Abe of Japan had planned as a bonding session at a legendary sushi restaurant instead became a forum for haggling over tariff rates under a sweeping Pacific Rim trade agreement.",2015-04-29 00:56:03+00:00
Morning Agenda:  A Tweet Sinks Twitter’s Stock,"A TWEET SINKS TWITTER’S STOCK | It was a tumultuous day for Twitter after an unexpected tweet about the company’s disappointing earnings report immediately clobbered Twitter’s stock, which ended up falling 18 percent by the end of Tuesday’s trading session, Vindu Goel writes in The New York Times. Investors were unhappy with Twitter’s revenue, which grew 74 percent in the quarter — less than the 97 percent growth seen in the fourth quarter and below the company’s own forecasts. ",2015-04-29 10:50:16+00:00
Iran’s Foreign Minister Says U.S. Risks Ostracism if Signed Nuclear Deal Is Scrapped,"Demonstrating suave fluency in English and a familiarity with American history and law, Iran’s foreign minister said Wednesday that the United States would risk global ostracism if it were to scrap a signed international pact that resolves the Iranian nuclear dispute.",2015-04-29 22:46:40+00:00
Chinese and Russian Navies to Hold Joint Drills in Mediterranean,"HONG KONG — The Chinese Navy will hold joint exercises with Russia in the Mediterranean in May, China’s Defense Ministry said Thursday, a further indication of the closer ties between the two countries and of the navy’s increasing ambitions.",2015-04-30 16:21:38+00:00
"China to Russia: Putin Is a Hunk. Now, About Those Gas Prices.","Propaganda posters are so 1955. Six decades after legions of Soviet engineers swarmed over China, helping build steel mills, oil refineries and aircraft factories, there’s a new way to trumpet ties between the two giant neighbors.",2015-05-07 10:35:40+00:00
China Rebukes U.S. Over Criticism of Civil Rights Lawyer’s Detention,"BEIJING — After criticism from the United States over the detention of a civil rights lawyer in China, the Chinese Foreign Ministry said on Thursday that Washington should address human rights problems at home and stop trying to be the “world’s policeman or judge.”",2015-05-07 12:59:50+00:00
"With U.S. Eyes on Iran, North Korea’s Nuclear Arsenal Expanded","SEOUL, South Korea — While the Obama administration spent the past two years getting within striking distance of a deal to delay Iran’s race for a nuclear bomb, North Korea went on an atomic spending spree: an expansion officials here fear Washington has little hope of stopping.",2015-05-08 00:27:21+00:00
"As Russia Remembers War in Europe, Guest of Honor Is From China","BEIJING — When Russia celebrates the 70th anniversary of the defeat of the Nazis on Saturday, the most prominent leader standing with President Vladimir V. Putin to review a military parade will not be from the United States or Britain, Russia’s wartime allies.",2015-05-08 11:03:34+00:00
Russia and China Sign Cooperation Pacts,"MOSCOW — On the eve of a celebration commemorating to the defeat of Nazi Germany, the presidents of Russia and China on Friday signed 32 bilateral agreements designed to highlight the warming of relations between the countries even as Russia’s have soured with the West.",2015-05-08 17:23:32+00:00
The Alamo and Walmart,Have you noticed that Utah doesn’t seem to be worried about a military takeover?,2015-05-09 02:00:54+00:00
Your Monday Briefing,Good morning.,2015-05-11 09:44:09+00:00
Working Together in Antarctica,"Re “With deal, China eyes Antarctica” (News, April 24): Questions about China’s motives in expanding its Antarctic operations are paralleled by condemnation for its depletion of Africa’s resources and degradation of its environment. China’s development aid for Africa is motivated by a mixture of altruism, empathy, humanitarianism as well as economic and strategic gain. But in its sprint toward prosperity, China is seen as neglectful of its environmental obligations. As an emerging donor, it has yet to garner the humanitarian credibility that postwar reconstruction help for Germany and Japan fostered for the United States and Britain. It is no wonder that China remains a target of suspicion on the world stage.",2015-05-12 10:42:33+00:00
"As Obama Plays China Card on Trade, Chinese Pursue Their Own Deals","WASHINGTON — President Obama has toured Nike’s headquarters and busy American ports in recent weeks to try to convince Democrats that rejecting the Trans-Pacific Partnership, a 12-nation trade deal that he envisions as a crucial part of a legacy of national economic revival, will undercut American power.",2015-05-13 01:07:40+00:00
Saudi Arabia Promises to Match Iran in Nuclear Capability,"WASHINGTON — When President Obama began making the case for a deal with Iran that would delay its ability to assemble an atomic weapon, his first argument was that a nuclear-armed Iran would set off a “free-for-all” of proliferation in the Arab world. “It is almost certain that other players in the region would feel it necessary to get their own nuclear weapons,” he said in 2012.",2015-05-14 01:06:16+00:00
Kerry Expected to Bring Up China’s Sea Claims During Visit,BEIJING — Secretary of State John Kerry arrived here on Saturday amid rising tensions over China’s expansion of shoals and islets  in areas of the South China Sea claimed by at least three countries.,2015-05-15 13:32:54+00:00
China Making Some Missiles More Powerful,"WASHINGTON — After decades of maintaining a minimal nuclear force, China has re-engineered many of its long-range ballistic missiles to carry multiple warheads, a step that federal officials and policy analysts say appears designed to give pause to the United States as it prepares to deploy more robust missile defenses in the Pacific.",2015-05-16 22:00:16+00:00
Film on Deng Xiaoping Celebrates Visit That Helped Open China to World,"As the Marvel superhero epic “Avengers: Age of Ultron” concluded its first weekend in mainland Chinese movie theaters, the makers of another, more modest film are appealing to moviegoers and theater managers to take a longer view of the film industry in China.",2015-05-18 08:26:19+00:00
6 Chinese Men Indicted in Theft of Code From U.S. Tech Companies,WASHINGTON — The Obama administration on Tuesday announced the arrest of a Chinese professor and the indictment of five other Chinese citizens in what it contended was a decade-long scheme to steal microelectronics designs from American companies on behalf of the Chinese government.,2015-05-19 16:40:45+00:00
"Hillary, Jeb, Facebook and Disorder","For a presidential campaign that has started so early, it’s striking how little most of the candidates want to engage with major issues of the day, let alone the future. Hillary Clinton won’t take a clear stand on two big issues she helped to negotiate as secretary of state: the free-trade deal with Pacific nations and the nuclear deal with Iran. Jeb Bush’s campaign seems stuck on whether he is or is not his brother’s keeper. Marco Rubio was for comprehensive immigration reform before he was against it. While Senators Rand Paul and Bernie Sanders are motivated by clear ideologies, the others, so far, evince much more compelling ambitions to be president than compelling reasons for why they should be. ",2015-05-20 07:21:06+00:00
Chinese Scientists Indicted by U.S. Are Seen as Stars at Home,"BEIJING — Several of the six Chinese scientists who were charged with economic espionage by the United States this week are young stars in their fields, and any government ties they have are rooted in their work with a university vying to be a major force in microchip engineering and sales, according to online documents and an interview with a colleague.",2015-05-20 16:20:53+00:00
Can China Take a Joke?,"‘Three, two, one, applause!” The audience in the Beijing studio cheered as excitedly as anyone could be expected to cheer for an empty stage. They had gathered on a January evening last year for a taping of “Is It True?” — a show broadcast on the Chinese state-run network CCTV2 and hosted by the comedian Joe Wong. Before Wong came out to tell jokes, the director, an energetic young man in white-framed glasses and a puffy vest, wanted to record the audience members’ reaction. “Don’t be too quiet,” he advised them. “This is a lively program.”",2015-05-21 11:00:10+00:00
Your Thursday Evening Briefing,Catch up on the day’s top stories.,2015-05-21 22:43:41+00:00
"U.S. Flies Over a Chinese Project at Sea, and Beijing Objects","WASHINGTON — The United States and China on Friday escalated their dispute over contested territory in the South China Sea, after the Chinese repeatedly ordered an American military surveillance plane to abandon flights over areas where China has been building artificial islands.",2015-05-23 01:18:24+00:00
Paris Can't Be Another Copenhagen,"As a former prime minister of Australia, I understand something of the political costs leaders must bear in aiming to reconcile the long-term interests of the planet with short-term national interests.",2015-05-25 10:23:02+00:00
Netanyahu Appoints Hawkish Ally to Run Foreign Ministry,"JERUSALEM — Prime Minister Benjamin Netanyahu of Israel on Monday named a longtime confidant who is hawkish on Iran and the Palestinian issue to run the Foreign Ministry, the latest in a series of moves that consolidate Mr. Netanyahu’s conservative grip on his new government.",2015-05-25 17:10:09+00:00
U.S. and Allies to Tie North Korea’s Rights Record to Nuclear Talks,"SEOUL, South Korea — The top nuclear envoys of the United States, South Korea and Japan agreed on Wednesday to ratchet up pressure on North Korea, including a more effective and creative enforcement of sanctions on the impoverished country.",2015-05-27 09:56:52+00:00
U.S. Rebukes China on Efforts to Build Artificial Islands ,"PEARL HARBOR, Hawaii — A day after China laid out its vision for a navy that can project power into the open seas, Defense Secretary Ashton B. Carter on Wednesday criticized Beijing’s efforts to build artificial islands in the South China Sea, making it clear that the United States would not be deterred by Chinese claims to newly built territories.",2015-05-27 23:18:56+00:00
Talks Begin to Conclude Nuclear Deal With Iran ,"GENEVA — With only a month to go before a deadline for a nuclear accord with Iran, Secretary of State John Kerry began a major push Saturday to conclude the agreement.",2015-05-30 17:02:45+00:00
"Building of Islands Is Debated, but China and U.S. Skirt Conflict at Talks","SINGAPORE — It was an unexpectedly direct exchange: With nearly every significant Asian defense official gathered in a single room, a senior Chinese military officer on Saturday defended his country’s island-building spree in the South China Sea and rebuked Defense Secretary Ashton B. Carter for saying it threatened the region’s stability. ",2015-05-31 00:23:28+00:00
China Says It Could Set Up Air Defense Zone in South China Sea,"BEIJING — A Chinese admiral said Sunday that Beijing could set up an air defense zone above disputed areas of the South China Sea if it thought it was facing a large enough threat, according to Chinese news media.",2015-05-31 12:32:47+00:00
Will China Close Its Doors?,"The slogan for the 2008 Beijing Olympics was “Beijing Welcomes You.” Now, seven years later, a draft law targeting foreign institutions — including universities, museums, athletic and cultural groups, professional associations and all nonprofit social organizations established outside of mainland China — makes clear that Beijing has become much less welcoming.",2015-06-01 14:39:26+00:00
U.S. Defense Secretary Visits India to Build Military Ties,"NEW DELHI — With a dash of the requisite South Asian pomp and a heap of expectations for the future, Defense Secretary Ashton B. Carter met on Wednesday with senior Indian officials to inch forward with military ties to a country that the United States sees as a crucial future partner in Asia.",2015-06-03 17:21:38+00:00
"A Chinese Ebola Drug Raises Hopes, and Rancor","After a nurse who contracted Ebola in Sierra Leone was discharged Wednesday from a Rome hospital, a doctor there described the experimental treatments the patient had received as “absolutely miraculous.”",2015-06-12 00:55:23+00:00
"Washington Dysfunction, With a Twist: Democrats Desert Their President","WASHINGTON — He made it personal. He appealed to their loyalty. He asked them to give him what every modern president has had. He argued the facts, disputed the politics, quarreled over the history and at times lashed out at those who still refused to stand with him.",2015-06-12 19:19:15+00:00
