headline,lead_paragraph,date
China Spins Tale That the U.S. Army Started the Coronavirus Epidemic,BEIJING — China is pushing a new theory about the origins of the coronavirus: It is an American disease that might have been introduced by members of the United States Army who visited Wuhan in October.,2020-03-13 12:40:44+00:00
China Announces That It Will Expel American Journalists,"In a sharp escalation of tensions between the two superpowers, China announced on Tuesday that it would expel American journalists working for The New York Times, The Wall Street Journal and The Washington Post. It also demanded that those outlets, as well as the Voice of America and Time magazine, provide the Chinese government with detailed information about their operations.",2020-03-17 17:02:47+00:00
China’s Ill-Timed Attack on the Free Press,"China’s crackdown on journalists from The Times and other American news organizations is an unfortunate echo of the Cold War, and it couldn’t come at a worse time. The global spread of the coronavirus demands independent and trusted information from the country where the scourge began.",2020-03-18 00:43:28+00:00
"China Defends Expulsion of American Journalists, Accusing U.S. of Prejudice",HONG KONG — An increasingly rancorous rivalry between the United States and China entered a new phase on Wednesday as Beijing accused the Trump administration of starting a diplomatic clash that led it to expel almost all American journalists from three newspapers.,2020-03-18 08:46:00+00:00
"Ousting U.S. Reporters, China Signals Confidence in Its Own Message","When China wanted to broadcast that it was ready to open to the world, Deng Xiaoping, then its paramount leader, told the Italian journalist Oriana Fallaci that Mao Zedong’s portrait would hang over Tiananmen Square forever — and that Beijing would welcome some elements of capitalism.",2020-03-18 17:22:31+00:00
"Trump Defends Using ‘Chinese Virus’ Label, Ignoring Growing Criticism","WASHINGTON — President Trump on Wednesday defended his increasingly frequent practice of calling the coronavirus the “Chinese Virus,” ignoring a growing chorus of criticism that it is racist and anti-Chinese.",2020-03-18 20:26:32+00:00
"As Pandemic Grows, U.S. Warns Americans Not to Travel Abroad","WASHINGTON — The State Department announced on Thursday that Americans should not travel outside the country, and that citizens abroad should either return home or stay in place as the coronavirus pandemic grows.",2020-03-19 21:48:41+00:00
Another Virus Victim: The U.S. as a Global Leader in a Time of Crisis,"BRUSSELS — In the name of “America First,” President Trump has pulled out of the Paris climate agreement and questioned the usefulness of the United Nations and NATO, displaying his distaste for the multinational institutions the United States had constructed and led since World War II.",2020-03-20 16:42:55+00:00
Coronavirus Drives the U.S. and China Deeper Into Global Power Struggle,"WASHINGTON — When President Trump took the podium at the White House briefing room one afternoon last week, his prepared remarks included a reference to the “corona virus.” But a close-up photograph revealed that Mr. Trump had used one of his signature Sharpies to cross out the word “corona,” changing the phrase to “Chinese virus.”",2020-03-22 18:16:13+00:00
Trump’s ‘Disaster Diplomacy’ Has So Far Had Few Results,"WASHINGTON — As the coronavirus raced across the globe earlier this year, the Trump administration offered assistance to a pair of longtime American enemies, Iran and North Korea. The responses hardly amounted to a diplomatic breakthrough.",2020-03-26 14:29:42+00:00
U.S. Officials Push for Expelling Suspected Chinese Spies at Media Outlets,"WASHINGTON — As China moves forward with expelling almost all American journalists from three major American newspapers, Trump administration officials have intensified discussions over whether to evict employees of Chinese media outlets who they say mainly act as spies.",2020-03-26 22:02:59+00:00
"As Virus Spreads, China and Russia See Openings for Disinformation","WASHINGTON — China and Russia have both seized on the novel coronavirus to wage disinformation campaigns that seek to sow doubts about the United States’ handling of the crisis and deflect attention from their own struggles with the pandemic, according to American intelligence officials and diplomats.",2020-03-28 09:00:15+00:00
U.S. Counts on Global Crises to Press Again for Power Shift in Venezuela,WASHINGTON — The United States is seizing on Venezuela’s economic pain and the coronavirus threat to push a new plan for a power-sharing government in Caracas until presidential elections can be held this year.,2020-03-31 09:00:20+00:00
Iran Says U.S. Sanctions Are Taking Lives. U.S. Officials Disagree.,"As Iran struggles with a devastating coronavirus outbreak, a broken economy and a severe shortage of medical equipment, it says that American trade sanctions are taking Iranian lives and has called for the United States to lift them on humanitarian grounds.",2020-04-01 16:33:25+00:00
"In Sudden Shift, U.S. and China Seek to Cooperate","WASHINGTON — For weeks, President Trump and Secretary of State Mike Pompeo forcefully used the controversial terms “Chinese virus” and “Wuhan virus” in public and said they intended to hold Beijing responsible for the crippling coronavirus pandemic.",2020-04-02 09:00:16+00:00
"C.I.A. Hunts for Authentic Virus Totals in China, Dismissing Government Tallies","WASHINGTON — The C.I.A. has been warning the White House since at least early February that China has vastly understated its coronavirus infections and that its count could not be relied upon as the United States compiles predictive models to fight the virus, according to current and former intelligence officials.",2020-04-02 20:17:57+00:00
"Coronavirus Strands China’s Students, in a Dilemma for Beijing","One student fantasized about buying a $30,000 seat on a private jet. One mother, frustrated with her inability to bring her daughter home, sent masks instead. One group of desperate parents made an unusually public appeal to the Chinese government for help.",2020-04-05 04:01:10+00:00
U.S. Military Seeks More Funding for Pacific Region After Pandemic,"WASHINGTON — United States military officials have outlined a spending request to bolster deterrence against China after the coronavirus pandemic ebbs, a sign of how national security leaders are already studying ways to shore up the country’s standing in the Asia-Pacific region once the outbreak ends.",2020-04-05 19:55:32+00:00
Trump Attacks W.H.O. Over Criticisms of U.S. Approach to Coronavirus,"WASHINGTON — President Trump lashed out on Tuesday at the World Health Organization, choosing a new political enemy to attack and threatening to withhold funding from a premier health institution even as a deadly virus ravages nations around the globe.",2020-04-08 00:55:40+00:00
China Hawks in Congress See an Opportunity in Coronavirus,"WASHINGTON — When Senator Marco Rubio released a report last February warning that the United States risked losing important components of its medical supply chain to China, it barely registered with most Americans.",2020-04-10 18:56:49+00:00
China’s ‘Donation Diplomacy’ Raises Tensions With U.S.,"WASHINGTON — When President Trump spoke with Xi Jinping, the Chinese leader, late last month to reach a truce to the sniping over the coronavirus pandemic, he did so partly to pave the way for steady shipments of much-needed medical supplies from China.",2020-04-14 16:43:51+00:00
"U.S. Accuses North Korea of Cyberattacks, a Sign That Deterrence Is Failing","WASHINGTON — The United States accused North Korea on Wednesday of employing an array of old and new forms of cyberattacks to steal and launder money, extort companies and use digital currencies to gain cash for its nuclear weapons program.",2020-04-15 22:58:33+00:00
A Key G.O.P. Strategy: Blame China. But Trump Goes Off Message.,"WASHINGTON — The strategy could not be clearer: From the Republican lawmakers blanketing Fox News to new ads from President Trump’s super PAC to the biting criticism on Donald Trump Jr.’s Twitter feed, the G.O.P. is attempting to divert attention from the administration’s heavily criticized response to the coronavirus by pinning the blame on China.",2020-04-18 15:53:43+00:00
The U.S. Tried to Teach China a Lesson About the Media. It Backfired.,Secretary of State Mike Pompeo is better known for yelling at journalists than consoling them.,2020-04-20 00:00:06+00:00
‘Gracias China!!!’,"“Gracias China!!!,” Marcelo Ebrard, the foreign minister of Mexico, posted on Twitter on April 1, along with a photo of the plane that carried 100,000 masks, 50,000 test kits and five ventilators donated from China. Mexico may see as many as 700,000 cases of Covid-19, while the country has a mere 5,500 ventilators. Even though this will without a doubt have an impact on the United States, which shares a 2,000-mile border and robust trade with Mexico, it’s Beijing, not Washington, that is fast-tracking hundreds of ventilators to help the country meet its vulnerability.",2020-04-21 09:00:12+00:00
"Chinese Agents Helped Spread Messages That Sowed Virus Panic in U.S., Officials Say","WASHINGTON — The alarming messages came fast and furious in mid-March, popping up on the cellphone screens and social media feeds of millions of Americans grappling with the onset of the coronavirus pandemic.",2020-04-22 09:00:23+00:00
Coronavirus Crisis Offers Taiwan a Chance to Push Back Against China,"TAIPEI, Taiwan — They are sending millions of masks, emblazoned with the words “made in Taiwan,” to the United States, Italy and other countries hit hard by the coronavirus. They are denouncing Taiwan’s exclusion from the World Health Organization. They are flaunting celebrity endorsements and creating hashtags like #TaiwanCanHelp.",2020-04-22 10:11:17+00:00
U.S. Aid for Greenland Prompts Praise and Suspicion in Denmark,"COPENHAGEN — Denmark said no, emphatically, when President Trump expressed interest last year in purchasing Greenland. But that doesn’t mean the Danish government would rebuff a little American help for its semi-autonomous territory.",2020-04-23 20:53:16+00:00
Chinese Coffee Chain’s Scandal Renews U.S. Calls for Oversight,"HONG KONG — Luckin Coffee had an audacious goal: take on Starbucks in China. Last year, unprofitable, burning through cash and not even two years old, it went to Wall Street to raise over half a billion dollars. Just a few months ago, it was valued at $12 billion.",2020-04-30 07:52:05+00:00
Trump Officials Are Said to Press Spies to Link Virus and Wuhan Labs,"WASHINGTON — Senior Trump administration officials have pushed American spy agencies to hunt for evidence to support an unsubstantiated theory that a government laboratory in Wuhan, China, was the origin of the coronavirus outbreak, according to current and former American officials. The effort comes as President Trump escalates a public campaign to blame China for the pandemic.",2020-04-30 09:00:21+00:00
"As Workers Fall Ill, U.S. Presses Mexico to Keep American-Owned Plants Open","MEXICO CITY — The Trump administration and major U.S. manufacturers have successfully pressured Mexico to keep factories that supply the United States operating during the coronavirus pandemic, even as outbreaks erupt and waves of cases and deaths sweep the companies.",2020-04-30 20:53:00+00:00
Some Trump Officials Take Harder Actions on China During Pandemic,"WASHINGTON — Some top Trump administration officials are moving to take a more aggressive stand against China on economic, diplomatic and scientific issues at the heart of the relationship between the world’s two superpowers, further fraying ties that have reached their lowest point in decades.",2020-05-01 22:45:35+00:00
Kim Jong-un Is Back. What Happens When He’s Really Gone?,"SEOUL, South Korea — North Korea’s leader, Kim Jong-un, reappeared in dramatic fashion this weekend when he was shown on North Korean media after three weeks of unexplained absence, cutting the ribbon on a fertilizer factory — and quieting rumors that he was gravely ill.",2020-05-02 08:16:16+00:00
Global Backlash Builds Against China Over Coronavirus,BRUSSELS — Australia has called for an inquiry into the origin of the virus. Germany and Britain are hesitating anew about inviting in the Chinese tech giant Huawei. President Trump has blamed China for the contagion and is seeking to punish it. Some governments want to sue Beijing for damages and reparations.,2020-05-03 10:17:19+00:00
"Pompeo Ties Coronavirus to China Lab, Despite Spy Agencies’ Uncertainty","WASHINGTON — Secretary of State Mike Pompeo on Sunday backed President Trump’s assertion that the coronavirus originated in a research laboratory in Wuhan, China, though the nation’s intelligence agencies say they have reached no conclusion on the issue.",2020-05-03 22:24:08+00:00
China Quiets Talk of Coronavirus Cover-Up in Wuhan,,2020-05-04 04:02:06+00:00
World Leaders Join to Pledge $8 Billion for Vaccine as U.S. Goes It Alone,"BRUSSELS — Prime ministers, a king, a prince and Madonna all chipped in to an $8 billion pot to fund a coronavirus vaccine.",2020-05-04 22:26:46+00:00
"Ji Chaozhu, Interpreter for China During Nixon’s Trip, Dies at 90","Ji Chaozhu, who was a longtime interpreter for top Chinese officials, including Mao Zedong and Deng Xiaoping, and who was at Zhou Enlai’s side during President Richard M. Nixon’s groundbreaking trip to China in 1972, died on April 29. He was 90.",2020-05-05 22:26:22+00:00
Trump Says He’s ‘Torn’ on China Deal as Advisers Signal Harmony on Trade,"WASHINGTON — President Trump criticized China for failing to hold up its end of the trade deal on Friday and said he was “very torn” about the fate of the agreement signed in January, even as his closest economic advisers released a statement reassuring the world that the truce was intact.",2020-05-08 10:50:07+00:00
"With Push From Trump, Senate Moves to Install Contentious Filmmaker at U.S. Media Agency","WASHINGTON — Senate Republican leaders, under pressure from President Trump to install an ally who would dictate more favorable news coverage of his administration, are moving to swiftly confirm a conservative filmmaker to lead the independent agency in charge of state-funded media outlets.",2020-05-08 20:12:52+00:00
U.S. Hits Back at China With New Visa Restrictions on Journalists,"The Trump administration is imposing new restrictions on Chinese journalists working in the United States, escalating its conflict with China over the news media as the two countries battle for economic, geopolitical and messaging dominance worldwide.",2020-05-09 11:27:42+00:00
"China Flare-up, Taiwan, Bangkok Pet Salons: Your Monday Briefing",(Want to get this briefing by email? Here’s the sign-up.),2020-05-10 19:21:58+00:00
"U.S. to Accuse China of Trying to Hack Vaccine Data, as Virus Redirects Cyberattacks",WASHINGTON — The F.B.I. and the Department of Homeland Security are preparing to issue a warning that China’s most skilled hackers and spies are working to steal American research in the crash effort to develop vaccines and treatments for the coronavirus. The efforts are part of a surge in cybertheft and attacks by nations seeking advantage in the pandemic.,2020-05-10 23:08:08+00:00
China Is Defensive. The U.S. Is Absent. Can the Rest of the World Fill the Void?,"SYDNEY, Australia — When Australia started pushing for a global inquiry into the origins of the coronavirus pandemic, no other countries were on board, and officials had no idea how it would work or how harshly China might react.",2020-05-11 09:00:38+00:00
The Era of Offshoring U.S. Jobs Is Over,Some say crises don’t so much alter the course of history as accelerate changes already underway. That’s certainly the case when it comes to the coronavirus pandemic and the offshoring of American jobs.,2020-05-11 23:11:26+00:00
Federal Retirement Fund Halts Planned China Investment Under Pressure,"WASHINGTON — A government retirement fund on Wednesday halted plans to invest in Chinese stocks this year, after growing criticism that the move would channel the savings of government workers to companies that are working against the national security goals of the United States.",2020-05-13 21:09:42+00:00
"T.S.M.C. Is Set to Build a U.S. Chip Facility, a Win for Trump","SAN FRANCISCO — Taiwan Semiconductor Manufacturing Company has agreed to build an advanced chip factory in the United States, in a response to the Trump administration’s growing concerns about the security of the global electronics supply chain and its competitive tensions with China.",2020-05-14 22:22:37+00:00
"U.S. and China Trade Coronavirus Accusations, Sparking Fears of a New Cold War","On May 1, a visibly relieved Matt Hancock announced that the British government had exceeded its target of 100,000 coronavirus tests a day. As health secretary, Mr. Hancock had set the goal after enduring intense criticism for the country’s lagging coronavirus testing program.",2020-05-15 04:01:34+00:00
U.S. Delivers Another Blow to Huawei With New Tech Restrictions,"WASHINGTON — The Trump administration issued a new rule Friday that will bar Huawei and its suppliers from using American technology and software, a significant escalation in the White House’s battle with the Chinese telecom giant and one that is likely to inflame tensions with Beijing.",2020-05-15 13:24:45+00:00
From ‘Respect’ to ‘Sick and Twisted’: How Coronavirus Hit U.S.-China Ties,“Evil.” “Lunacy.” “Shameless.” “Sick and twisted.” China has hit back at American criticism over its handling of the coronavirus pandemic with an outpouring of vitriol as acrid as anything seen in decades.,2020-05-15 15:53:49+00:00
U.S.-China Feud Over Coronavirus Erupts at World Health Assembly,A meeting of the World Health Organization that was supposed to chart a path for the world to combat the coronavirus pandemic instead on Monday turned into a showcase for the escalating tensions between China and the United States over the virus.,2020-05-18 23:10:55+00:00
U.S. Is Using Taiwan as a Pressure Point in Tech Fight With China,"The Trump administration has for years sparred with China over tariff threats, technology and the terms of their trade deal. But in a pair of actions last week, the administration escalated those economic tensions in a way that comes close to touching a red line for Beijing: its contentious relationship with Taiwan.",2020-05-19 12:28:10+00:00
Trump Is Playing the China Card. Who Believes Him?,"There is a long history of American presidential candidates using China as a campaign cudgel — from Bill Clinton blasting President George H.W. Bush in 1992 for dealing with a Chinese premier known as the “Butcher of Beijing” to Donald Trump’s 2016 attack that the Obama administration had allowed China to “rape” the United States while Hillary Clinton was secretary of state. This election year, China-bashing will reach a new level, as Mr. Trump seeks to capitalize on high voter disapproval of China, Beijing’s failure to contain the coronavirus and persistent bilateral tensions between our countries.",2020-05-19 23:00:07+00:00
Iran Quietly Lowers the Temperature With U.S.,"BAGHDAD — After years of increasing tensions that nearly led to war, Iran has moderated its approach to the West, shifting from a policy of provocation to one of limited cooperation. The change reflects an effort to avoid direct confrontation with the United States that the Iranians say could benefit President Trump in the November election.",2020-05-19 23:13:32+00:00
W.H.O. Members Reject Trump’s Demands but Agree to Study Its Virus Response,"WASHINGTON — President Trump’s angry demands for punitive action against the World Health Organization were rebuffed on Tuesday by the organization’s other member nations, which decided instead to conduct an “impartial, independent” examination of the W.H.O.’s response to the coronavirus pandemic.",2020-05-19 23:25:38+00:00
China’s Hong Kong Crackdown Could Put Trump in an Unwelcome Spot,"WASHINGTON — China’s plans to impose sweeping new security powers over Hong Kong could inflict even more damage on already fraught relations between Washington and Beijing, and force President Trump into uncomfortable decisions about whether to maintain his self-described friendly ties with the Chinese president, Xi Jinping.",2020-05-21 21:38:55+00:00
Top U.S. Officials Threaten Action on China Over Hong Kong Security Law,"WASHINGTON — Secretary of State Mike Pompeo said on Friday that a broad new security measure proposed by China would amount to a “death knell” for Hong Kong’s political freedoms, as Trump administration officials warned of punishments — possibly including revoking the territory’s special economic and trading status.",2020-05-22 16:08:33+00:00
Why China’s Move to Rein In Hong Kong Is Just the Start,"China’s move to strip away another layer of Hong Kong’s autonomy was not a rash impulse. It was a deliberate act, months in the making. It took into account the risks of international umbrage and reached the reasonable assumption that there would not be a significant geopolitical price to pay.",2020-05-24 12:13:37+00:00
"Hong Kong Has Lost Autonomy, Pompeo Says, Opening Door to U.S. Action","WASHINGTON — Secretary of State Mike Pompeo announced on Wednesday that the State Department no longer considered Hong Kong to have significant autonomy under Chinese rule, a move that indicated the Trump administration was likely to end some or all of the United States government’s special trade and economic relations with the territory in southern China.",2020-05-27 16:30:49+00:00
"House Passes Uighur Human Rights Bill, Prodding Trump to Punish China","WASHINGTON — The House voted overwhelmingly on Wednesday to pass a measure that would punish top Chinese officials for detaining more than one million Muslims in internment camps, sending President Trump a bill intended to force him to take a more aggressive stand on human rights abuses in China.",2020-05-27 21:58:51+00:00
U.S. to Penalize Work at Iranian Facilities in Latest Blow to Nuclear Accord,"WASHINGTON — The State Department announced on Wednesday that it would begin imposing economic penalties on foreign businesses working at Iranian nuclear facilities, the latest effort by the Trump administration to dismantle an Obama-era accord with Tehran.",2020-05-28 00:59:14+00:00
"E.U. Aid, Dominic Cummings, U.S. Coronavirus Deaths: Your Thursday Briefing",(Want to get this briefing by email? Here’s the sign-up.),2020-05-28 04:10:35+00:00
"China Approves Plan to Rein In Hong Kong, Defying Worldwide Outcry",,2020-05-28 07:17:22+00:00
